context,bucket,rank,feature,family,median_robust_z,abs_median_robust_z
TERMINAL,target_lead,1,btc_price_rsi_rank_divergence_20d,MOMENTUM_EXHAUSTION,3.37245379738,3.37245379738
TERMINAL,target_lead,2,breadth_acceleration_10d,BREADTH,2.69796303791,2.69796303791
TERMINAL,target_lead,3,btc_rv20_to_rv60,BTC_TREND_MATURITY,-1.27594465403,1.27594465403
TERMINAL,target_lead,4,bnb_btc_log_return_40d,LEADERSHIP_MIGRATION,-0.955985491624,0.955985491624
TERMINAL,target_lead,5,eth_btc_log_return_20d,LEADERSHIP_MIGRATION,0.788801696409,0.788801696409
TERMINAL,target_lead,6,eth_btc_log_return_40d,LEADERSHIP_MIGRATION,-0.741103379174,0.741103379174
TERMINAL,target_lead,7,btc_rv20_ann,BTC_TREND_MATURITY,-0.734477572538,0.734477572538
TERMINAL,target_lead,8,brkk_return_dispersion_20d,LEADERSHIP_MIGRATION,-0.689625762821,0.689625762821
TERMINAL,target_lead,9,breadth_contraction_from_10d_max,BREADTH,-0.674490759477,0.674490759477
TERMINAL,target_lead,10,btc_log_slope_40d_ann,BTC_TREND_MATURITY,0.670952882351,0.670952882351
TERMINAL,near_event,1,eth_btc_log_return_20d,LEADERSHIP_MIGRATION,3.39202967012,3.39202967012
TERMINAL,near_event,2,btc_rv20_ann,BTC_TREND_MATURITY,-2.15977605495,2.15977605495
TERMINAL,near_event,3,btc_rv20_to_rv60,BTC_TREND_MATURITY,-1.61971869246,1.61971869246
TERMINAL,near_event,4,btc_distance_from_90d_high,BTC_TREND_MATURITY,1.40952515377,1.40952515377
TERMINAL,near_event,5,breadth_acceleration_10d,BREADTH,1.34898151895,1.34898151895
TERMINAL,near_event,6,btc_daily_rsi14,MOMENTUM_EXHAUSTION,1.08174495812,1.08174495812
TERMINAL,near_event,7,btc_price_rsi_rank_divergence_20d,MOMENTUM_EXHAUSTION,0.899321012635,0.899321012635
TERMINAL,near_event,8,eth_btc_log_return_40d,LEADERSHIP_MIGRATION,0.861260680106,0.861260680106
TERMINAL,near_event,9,btc_rsi14_failure_from_14d_max,MOMENTUM_EXHAUSTION,-0.849968333098,0.849968333098
TERMINAL,near_event,10,btc_kama_gap,BTC_TREND_MATURITY,0.775837613496,0.775837613496
SECOND_WIND,target_lead,1,btc_rv20_ann,BTC_TREND_MATURITY,-1.79793662735,1.79793662735
SECOND_WIND,target_lead,2,btc_rv20_to_rv60,BTC_TREND_MATURITY,-1.79599168328,1.79599168328
SECOND_WIND,target_lead,3,btc_distance_from_90d_high,BTC_TREND_MATURITY,-1.48671694684,1.48671694684
SECOND_WIND,target_lead,4,breadth_acceleration_10d,BREADTH,1.38645322781,1.38645322781
SECOND_WIND,target_lead,5,eth_btc_log_return_20d,LEADERSHIP_MIGRATION,1.14032474969,1.14032474969
SECOND_WIND,target_lead,6,btc_price_rsi_rank_divergence_20d,MOMENTUM_EXHAUSTION,-0.899321012635,0.899321012635
SECOND_WIND,target_lead,7,btc_4h_rsi28,MOMENTUM_EXHAUSTION,-0.877201869937,0.877201869937
SECOND_WIND,target_lead,8,brkk_return_dispersion_20d,LEADERSHIP_MIGRATION,-0.706243855033,0.706243855033
SECOND_WIND,target_lead,9,btc_daily_rsi28,MOMENTUM_EXHAUSTION,-0.684591399625,0.684591399625
SECOND_WIND,target_lead,10,btc_rsi14_extreme_persistence_14d,MOMENTUM_EXHAUSTION,-0.674490759477,0.674490759477
SECOND_WIND,near_event,1,btc_rv20_ann,BTC_TREND_MATURITY,-4.1969968704,4.1969968704
SECOND_WIND,near_event,2,eth_btc_log_return_20d,LEADERSHIP_MIGRATION,2.50202624213,2.50202624213
SECOND_WIND,near_event,3,btc_rv20_to_rv60,BTC_TREND_MATURITY,-2.11184649914,2.11184649914
SECOND_WIND,near_event,4,eth_btc_log_return_40d,LEADERSHIP_MIGRATION,1.56173022964,1.56173022964
SECOND_WIND,near_event,5,btc_distance_from_90d_high,BTC_TREND_MATURITY,-1.28294927635,1.28294927635
SECOND_WIND,near_event,6,btc_rsi14_failure_from_14d_max,MOMENTUM_EXHAUSTION,-1.21458445978,1.21458445978
SECOND_WIND,near_event,7,sol_btc_log_return_20d,LEADERSHIP_MIGRATION,-1.17633740482,1.17633740482
SECOND_WIND,near_event,8,bnb_btc_log_return_40d,LEADERSHIP_MIGRATION,-0.906696465535,0.906696465535
SECOND_WIND,near_event,9,sol_btc_log_return_40d,LEADERSHIP_MIGRATION,-0.826430794908,0.826430794908
SECOND_WIND,near_event,10,brkk_return_dispersion_20d,LEADERSHIP_MIGRATION,-0.752638913203,0.752638913203
NONTERMINAL_TOPLIKE,target_lead,1,btc_rv20_ann,BTC_TREND_MATURITY,-3.85408096354,3.85408096354
NONTERMINAL_TOPLIKE,target_lead,2,breadth_acceleration_10d,BREADTH,1.94852886071,1.94852886071
NONTERMINAL_TOPLIKE,target_lead,3,btc_rv20_to_rv60,BTC_TREND_MATURITY,-1.83398102869,1.83398102869
NONTERMINAL_TOPLIKE,target_lead,4,bnb_btc_log_return_40d,LEADERSHIP_MIGRATION,1.3854422376,1.3854422376
NONTERMINAL_TOPLIKE,target_lead,5,eth_btc_log_return_20d,LEADERSHIP_MIGRATION,1.04803729325,1.04803729325
NONTERMINAL_TOPLIKE,target_lead,6,btc_rsi14_failure_from_14d_max,MOMENTUM_EXHAUSTION,-0.917968437935,0.917968437935
NONTERMINAL_TOPLIKE,target_lead,7,btc_price_rsi_rank_divergence_20d,MOMENTUM_EXHAUSTION,0.899321012635,0.899321012635
NONTERMINAL_TOPLIKE,target_lead,8,breadth_contraction_from_10d_max,BREADTH,-0.674490759477,0.674490759477
NONTERMINAL_TOPLIKE,target_lead,9,btc_rsi14_extreme_persistence_14d,MOMENTUM_EXHAUSTION,-0.674490759477,0.674490759477
NONTERMINAL_TOPLIKE,target_lead,10,btc_kama_slope_10d,BTC_TREND_MATURITY,-0.475504137935,0.475504137935
NONTERMINAL_TOPLIKE,near_event,1,btc_rv20_ann,BTC_TREND_MATURITY,-4.22429262706,4.22429262706
NONTERMINAL_TOPLIKE,near_event,2,eth_btc_log_return_20d,LEADERSHIP_MIGRATION,3.10795699008,3.10795699008
NONTERMINAL_TOPLIKE,near_event,3,btc_daily_rsi14,MOMENTUM_EXHAUSTION,2.21704664188,2.21704664188
NONTERMINAL_TOPLIKE,near_event,4,btc_distance_from_90d_high,BTC_TREND_MATURITY,1.94800342054,1.94800342054
NONTERMINAL_TOPLIKE,near_event,5,btc_rv20_to_rv60,BTC_TREND_MATURITY,-1.81046562326,1.81046562326
NONTERMINAL_TOPLIKE,near_event,6,btc_rsi14_failure_from_14d_max,MOMENTUM_EXHAUSTION,-1.65425026446,1.65425026446
NONTERMINAL_TOPLIKE,near_event,7,eth_btc_log_return_40d,LEADERSHIP_MIGRATION,1.60012087329,1.60012087329
NONTERMINAL_TOPLIKE,near_event,8,btc_4h_rsi28,MOMENTUM_EXHAUSTION,1.20855342639,1.20855342639
NONTERMINAL_TOPLIKE,near_event,9,btc_4h_rsi14,MOMENTUM_EXHAUSTION,1.16538352559,1.16538352559
NONTERMINAL_TOPLIKE,near_event,10,btc_kama_gap,BTC_TREND_MATURITY,1.04569628159,1.04569628159
DETERIORATION,target_lead,1,btc_rv20_ann,BTC_TREND_MATURITY,-5.35483121978,5.35483121978
DETERIORATION,target_lead,2,btc_rv20_to_rv60,BTC_TREND_MATURITY,-1.40780600673,1.40780600673
DETERIORATION,target_lead,3,bnb_btc_log_return_40d,LEADERSHIP_MIGRATION,1.3854422376,1.3854422376
DETERIORATION,target_lead,4,btc_4h_rsi28,MOMENTUM_EXHAUSTION,-1.35424197914,1.35424197914
DETERIORATION,target_lead,5,eth_btc_log_return_40d,LEADERSHIP_MIGRATION,-1.0995821465,1.0995821465
DETERIORATION,target_lead,6,btc_4h_rsi14,MOMENTUM_EXHAUSTION,-1.02117188885,1.02117188885
DETERIORATION,target_lead,7,btc_daily_rsi28,MOMENTUM_EXHAUSTION,-0.741349306094,0.741349306094
DETERIORATION,target_lead,8,btc_daily_rsi14,MOMENTUM_EXHAUSTION,-0.731129147015,0.731129147015
DETERIORATION,target_lead,9,btc_log_return_40d,BTC_TREND_MATURITY,-0.690611172055,0.690611172055
DETERIORATION,target_lead,10,breadth_acceleration_10d,BREADTH,-0.674490759477,0.674490759477
DETERIORATION,near_event,1,btc_rv20_ann,BTC_TREND_MATURITY,-4.61549500934,4.61549500934
DETERIORATION,near_event,2,btc_4h_rsi28,MOMENTUM_EXHAUSTION,3.34901531579,3.34901531579
DETERIORATION,near_event,3,btc_4h_rsi14,MOMENTUM_EXHAUSTION,2.93121036471,2.93121036471
DETERIORATION,near_event,4,btc_daily_rsi14,MOMENTUM_EXHAUSTION,2.21704664188,2.21704664188
DETERIORATION,near_event,5,btc_distance_from_90d_high,BTC_TREND_MATURITY,1.94800342054,1.94800342054
DETERIORATION,near_event,6,btc_rsi14_failure_from_14d_max,MOMENTUM_EXHAUSTION,-1.81163090323,1.81163090323
DETERIORATION,near_event,7,sol_btc_log_return_20d,LEADERSHIP_MIGRATION,-1.28645301087,1.28645301087
DETERIORATION,near_event,8,btc_kama_gap,BTC_TREND_MATURITY,1.10784236533,1.10784236533
DETERIORATION,near_event,9,btc_rv20_to_rv60,BTC_TREND_MATURITY,-0.944984747141,0.944984747141
DETERIORATION,near_event,10,eth_btc_log_return_40d,LEADERSHIP_MIGRATION,-0.934407071232,0.934407071232
