date,refit_date,monthly_core_scale,monthly_approved_extra,daily_implied_extra,daily_actual_extra,daily_cap_binding,daily_reduction_vs_monthly,daily_total_scale,daily_btc_trend,daily_p_bad,daily_downside_semivol30,daily_downside_scaler
2022-12-09,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.562116095058999,0.843049038475409,0.23757468176598726,1.0
2022-12-10,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5226048792364438,0.8430489903020327,0.23757478169563256,1.0
2022-12-11,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.49556287414875777,0.8430489776977075,0.2123834916629158,1.0
2022-12-12,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5078789397195858,0.843048888127307,0.20562058778130338,1.0
2022-12-13,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.44263654014509424,0.8430308437475689,0.1788152093986221,1.0
2022-12-14,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.43183694099059383,0.8430367795215874,0.1788152093986221,1.0
2022-12-15,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.49648760308465145,0.8430425477983434,0.19958751678731787,1.0
2022-12-16,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6249413917946023,0.8430487637440479,0.24391467002480116,1.0
2022-12-17,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5406553611985276,0.8430489427430862,0.24391467002480116,1.0
2022-12-18,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.5254292965257741,0.8430489384575515,0.2440449869775011,1.0
2022-12-19,2022-12-09,1.3453862990342458e-07,0.0,0.0,0.0,False,0.0,1.3453862990342458e-07,-0.6090137457727973,0.843049220604558,0.25203101556321433,1.0
