date,jaccard,additions,removals,set_size
2021-05-01,0.0000000000,72,0,72
2021-05-02,0.7435897436,6,14,64
2021-05-03,0.7594936709,15,4,75
2021-05-04,0.8000000000,15,3,87
2021-05-05,0.8522727273,1,12,76
2021-05-06,0.8333333333,8,6,78
2021-05-07,0.8522727273,10,3,85
2021-05-08,0.7692307692,6,15,76
2021-05-09,0.8024691358,5,11,70
2021-05-10,0.7701149425,17,3,84
2021-05-11,0.7674418605,2,18,68
2021-05-12,0.7619047619,16,4,80
2021-05-13,0.8953488372,6,3,83
2021-05-14,0.7951807229,0,17,66
2021-05-15,0.8378378378,8,4,70
2021-05-16,0.8227848101,9,5,74
2021-05-17,0.8205128205,4,10,68
2021-05-18,0.8082191781,5,9,64
2021-05-19,0.7750000000,16,2,78
2021-05-20,0.8192771084,5,10,73
2021-05-21,0.8701298701,4,6,71
2021-05-22,0.7397260274,2,17,56
2021-05-23,0.7419354839,6,10,52
2021-05-24,0.7538461538,13,3,62
2021-05-25,0.8088235294,6,7,61
2021-05-26,0.8636363636,5,4,62
2021-05-27,0.8437500000,2,8,56
2021-05-28,0.7812500000,8,6,58
2021-05-29,0.7166666667,2,15,45
2021-05-30,0.7959183673,4,6,43
2021-05-31,0.8695652174,3,3,43
2021-06-01,0.8085106383,4,5,42
2021-06-02,0.7222222222,12,3,51
2021-06-03,0.7540983607,10,5,56
2021-06-04,0.8500000000,4,5,55
2021-06-05,0.8070175439,2,9,48
2021-06-06,0.6226415094,5,15,38
2021-06-07,0.6739130435,8,7,39
2021-06-08,0.6923076923,13,3,49
2021-06-09,0.7735849057,4,8,45
2021-06-10,0.6800000000,5,11,39
2021-06-11,0.6170212766,8,10,37
2021-06-12,0.7179487179,2,9,30
2021-06-13,0.6060606061,3,10,23
2021-06-14,0.7000000000,7,2,28
2021-06-15,0.7666666667,2,5,25
2021-06-16,0.7419354839,6,2,29
2021-06-17,0.7187500000,3,6,26
2021-06-18,0.8000000000,4,2,28
2021-06-19,0.6666666667,2,8,22
2021-06-20,0.7916666667,2,3,21
2021-06-21,0.5833333333,3,7,17
2021-06-22,0.8333333333,1,2,16
2021-06-23,0.6666666667,5,2,19
2021-06-24,0.6521739130,4,4,19
