date,btc_weight_turnover,alt_sleeve_size_turnover,within_alt_name_switch_turnover,alt_total_turnover,total_turnover,btc_cost,alt_sleeve_size_cost,name_switch_cost,total_cost
2021-05-01,0.5000000000,0.5000000000,0.0000000000,0.5000000000,1.0000000000,0.0002500000,0.0002500000,0.0000000000,0.0005000000
2021-05-02,0.0000000000,0.0000000000,0.5463128708,0.5463128708,0.5463128708,0.0000000000,0.0000000000,0.0002731564,0.0002731564
2021-05-03,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-04,0.0000000000,0.0000000000,0.5347571746,0.5347571746,0.5347571746,0.0000000000,0.0000000000,0.0002673786,0.0002673786
2021-05-05,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-06,0.0000000000,0.0000000000,0.5347571746,0.5347571746,0.5347571746,0.0000000000,0.0000000000,0.0002673786,0.0002673786
2021-05-07,0.0000000000,0.0000000000,0.5393221386,0.5393221386,0.5393221386,0.0000000000,0.0000000000,0.0002696611,0.0002696611
2021-05-08,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-09,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-10,0.0000000000,0.0000000000,0.5393221386,0.5393221386,0.5393221386,0.0000000000,0.0000000000,0.0002696611,0.0002696611
2021-05-11,0.0000000000,0.0000000000,0.5484499844,0.5484499844,0.5484499844,0.0000000000,0.0000000000,0.0002742250,0.0002742250
2021-05-12,0.0000000000,0.0000000000,0.5484499844,0.5484499844,0.5484499844,0.0000000000,0.0000000000,0.0002742250,0.0002742250
2021-05-13,0.0000000000,0.0000000000,0.5436097026,0.5436097026,0.5436097026,0.0000000000,0.0000000000,0.0002718049,0.0002718049
2021-05-14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-17,0.0000000000,0.0000000000,0.5436097026,0.5436097026,0.5436097026,0.0000000000,0.0000000000,0.0002718049,0.0002718049
2021-05-18,0.0000000000,0.0000000000,0.5439784518,0.5439784518,0.5439784518,0.0000000000,0.0000000000,0.0002719892,0.0002719892
