peak_date,start,trough,end_or_last,max_drawdown,calendar_days_to_trough,episode_net_compound_return,episode_gross_additive_return,episode_cost,worst_asset,worst_asset_contribution
2021-11-08,2021-11-09,2023-10-19,2024-11-21,-0.6911553739,710,0.0355679482,0.5578906531,0.1141753667,BNBUSDT,-0.1309598843
2021-05-08,2021-05-09,2021-07-20,2021-11-07,-0.5581199906,73,0.0029600733,0.1935752305,0.0214391218,FTTUSDT,-0.1197683886
2025-10-08,2025-10-09,2026-06-30,2026-08-02,-0.2702253016,265,-0.2630525256,-0.2864960625,0.0056024915,BTCUSDT,-0.2735759713
2025-03-02,2025-03-03,2025-06-21,2025-08-13,-0.2423199545,111,0.0049860088,0.0613848800,0.0220081409,OMUSDT,-0.0432847163
2025-02-20,2025-02-21,2025-02-26,2025-03-02,-0.1461990081,6,0.0037000331,0.0193227381,0.0002277897,BTCUSDT,-0.0170657918
2025-01-17,2025-01-18,2025-02-02,2025-02-20,-0.1307275856,16,0.0037420047,0.0214965177,0.0012603716,XRPUSDT,-0.0545505223
2024-12-15,2024-12-16,2024-12-22,2025-01-03,-0.1101896696,7,0.0222167004,0.0337458989,0.0017515259,BTCUSDT,-0.0286894340
2025-01-06,2025-01-07,2025-01-09,2025-01-15,-0.0923928633,3,0.0336982883,0.0410924664,0.0007389328,DOGEUSDT,-0.0228453949
2025-08-13,2025-08-14,2025-09-06,2025-09-20,-0.0850327743,24,0.0062212586,0.0128196702,0.0016126000,BTCUSDT,-0.0280385256
2024-11-22,2024-11-23,2024-11-25,2024-11-29,-0.0687087001,3,0.0496563310,0.0528681270,0.0008046463,TRXUSDT,-0.0086097987
2021-05-03,2021-05-04,2021-05-04,2021-05-05,-0.0666855790,1,0.0111294069,0.0169566882,0.0002673786,PIVXUSDT,0.0000000000
2024-12-08,2024-12-09,2024-12-09,2024-12-11,-0.0618107140,1,0.0278218728,0.0334185588,0.0000000000,PHBUSDT,0.0000000000
2025-09-20,2025-09-21,2025-09-25,2025-10-01,-0.0554375687,5,0.0008400210,0.0036722057,0.0013837811,BNBUSDT,-0.0119579575
2024-12-13,2024-12-14,2024-12-14,2024-12-15,-0.0219832488,1,0.0148835994,0.0157122694,0.0000000000,DOGEUSDT,-0.0014151985
2021-05-05,2021-05-06,2021-05-06,2021-05-08,-0.0153076655,1,0.0485337479,0.0495185236,0.0005370397,LUNAUSDT,-0.0032847130
2025-10-03,2025-10-04,2025-10-04,2025-10-06,-0.0108486428,1,0.0258126265,0.0263165376,0.0003710983,PIVXUSDT,0.0000000000
2025-01-04,2025-01-05,2025-01-05,2025-01-06,-0.0087060935,1,0.0163509896,0.0165710549,0.0000000000,DOGEUSDT,-0.0038483954
2025-10-06,2025-10-07,2025-10-07,2025-10-08,-0.0043894947,1,0.0071021891,0.0075264031,0.0003735489,BTCUSDT,-0.0054533600
2021-05-01,2021-05-02,2021-05-02,2021-05-03,-0.0023083197,1,0.0490638647,0.0494558790,0.0002731564,BTCUSDT,-0.0053478012
