symbol,entry_date,signal_date,entry_weight,entry_rank_position,entry_rank_score,entry_quote_volume,listing_age_days,current_status,eligible_h1,top2_h1,score_change_h1,forward_return_h1,eligible_h3,top2_h3,score_change_h3,forward_return_h3,eligible_h7,top2_h7,score_change_h7,forward_return_h7,eligible_h14,top2_h14,score_change_h14,forward_return_h14,eligible_h30,top2_h30,score_change_h30,forward_return_h30,listing_age_cohort,quote_volume_cohort
AAVEUSDT,2023-12-29,2023-12-28,0.2481862405,2.0000000000,0.9230226174,83284523.9288800061,972,TRADING,True,False,-0.1617349032,-0.0539199192,True,False,-0.2737625178,-0.0857166891,False,False,-0.6344640407,-0.1271029610,True,False,-0.5563139872,-0.0778095559,False,False,-0.9125279058,-0.2294751009,730-1459d,25-100m
AAVEUSDT,2024-08-14,2024-08-13,0.0935929449,2.0000000000,0.2906832011,25625096.9209299982,1201,TRADING,True,True,0.1448369922,0.0842708120,True,True,0.2393443542,0.1522806300,True,True,0.3330980876,0.3181632236,True,True,0.1161829434,0.2270402945,True,False,0.1607312040,0.4830231131,730-1459d,25-100m
AAVEUSDT,2024-08-22,2024-08-21,0.1739788611,2.0000000000,0.6671434270,90097356.3519600034,1209,TRADING,True,True,-0.0264309249,-0.0308219178,True,True,-0.1194571161,-0.0224029680,True,True,-0.1853759650,-0.1045234018,True,True,-0.1364365347,-0.0348886986,True,False,-0.0927819002,0.0945348174,730-1459d,25-100m
AAVEUSDT,2024-08-28,2024-08-27,0.1317890885,2.0000000000,0.4068661446,30770733.5813100003,1215,TRADING,True,True,0.0749013174,0.0460910152,True,True,0.1664205941,0.0935155859,True,True,0.0393676978,-0.0100016669,True,True,0.1152319306,0.2551258543,True,False,0.2513214795,0.3769794966,730-1459d,25-100m
AAVEUSDT,2024-08-31,2024-08-30,0.1596503864,2.0000000000,0.5732867387,31862339.7917999998,1218,TRADING,False,False,0.0313565253,-0.0113567073,True,True,0.0486294326,0.0282012195,True,True,-0.1008094366,-0.0331554878,True,True,-0.1093700399,0.1000762195,False,False,0.0367175041,0.2309451220,730-1459d,25-100m
AAVEUSDT,2024-09-03,2024-09-02,0.1731068992,2.0000000000,0.6219161713,37424833.7537799999,1221,TRADING,True,True,-0.1756823289,-0.1194959229,True,True,-0.1155486977,-0.0440326168,True,True,-0.1523653006,0.0375833951,True,True,-0.1108462180,0.0400296516,True,False,-0.1990597713,0.0314306894,730-1459d,25-100m
AAVEUSDT,2024-09-10,2024-09-09,0.1912934531,2.0000000000,0.4695508706,63020745.1867000014,1228,TRADING,True,True,0.0525472046,0.0758734014,True,False,-0.0181364655,0.0360077159,True,True,0.0415190827,0.0023576481,True,False,0.2249150229,0.2284775309,False,False,0.2954149033,-0.0037865257,730-1459d,25-100m
AAVEUSDT,2024-09-19,2024-09-18,0.2254491295,2.0000000000,0.4777215781,33272536.5321299993,1237,TRADING,True,True,0.0571479898,0.0608069977,False,False,0.1286475917,0.0903639955,True,True,0.1751161299,0.1643623025,True,False,-0.0548651781,-0.0184819413,False,False,0.2289655671,0.1216139955,730-1459d,25-100m
AAVEUSDT,2024-09-23,2024-09-22,0.1971621242,2.0000000000,0.6199974072,51766410.2572100013,1241,TRADING,True,False,0.0744684864,0.0606995250,True,True,0.0328403008,0.0181975202,False,False,-0.0099931643,-0.0037628771,False,False,0.1788777277,-0.0739621245,False,False,0.0046669280,-0.0582320646,730-1459d,25-100m
AAVEUSDT,2024-09-26,2024-09-25,0.1943450166,2.0000000000,0.6528377080,38546037.2933899984,1244,TRADING,True,False,0.0053499161,0.0009087605,False,False,0.0137046342,-0.0068459954,True,False,-0.2299813080,-0.1570338059,False,False,0.1121280659,-0.1552162850,False,False,-0.3123919232,-0.1633345450,730-1459d,25-100m
AAVEUSDT,2024-10-04,2024-10-03,0.0810029510,2.0000000000,0.5936718261,48397771.5711100027,1252,TRADING,True,True,0.2087677694,0.0523203228,False,False,0.2052033087,0.0444583594,True,False,0.2433727174,-0.0210811939,False,False,0.0264974312,0.0654699784,False,False,-0.3683292523,-0.0369442705,730-1459d,25-100m
AAVEUSDT,2024-10-08,2024-10-07,0.1069048676,2.0000000000,0.7863995098,28906156.7131800018,1256,TRADING,False,False,-0.0231440724,-0.0240659940,True,False,0.0506450336,-0.0407690210,True,True,0.0554540909,0.1107853831,False,False,-0.1861347995,0.0447913826,True,False,-0.3762833441,0.1842787019,730-1459d,25-100m
AAVEUSDT,2024-10-13,2024-10-12,0.1125950228,2.0000000000,0.8801160972,26208558.1381400004,1261,TRADING,False,False,-0.1225840352,-0.0005816584,True,True,-0.1847364310,0.0133135139,False,False,-0.2121316151,0.0221030182,False,False,-0.4356280840,-0.0778129645,True,False,-0.5314885097,0.2503716151,730-1459d,25-100m
AAVEUSDT,2024-10-15,2024-10-14,0.1264726222,2.0000000000,0.8418536008,34740088.2463499978,1263,TRADING,True,True,-0.1464739345,-0.0376848954,False,False,-0.2216843435,-0.0600871540,False,False,-0.2415888904,-0.0594120174,False,False,-0.2961993871,-0.0689866814,False,False,-0.6262438548,0.0630945805,730-1459d,25-100m
AAVEUSDT,2024-12-07,2024-12-06,0.2466954373,2.0000000000,0.6732758101,116977659.8949899971,1316,TRADING,True,True,0.0357758496,0.0015971606,True,True,0.0282065472,-0.0752085182,True,False,0.0358610151,0.3405501331,True,False,-0.0209358925,0.1691215617,True,False,-0.1910365273,0.2127772848,730-1459d,100-500m
AAVEUSDT,2024-12-23,2024-12-22,0.2308247526,2.0000000000,0.6062641048,93806513.9875500053,1332,TRADING,True,False,0.0058617304,0.2024014798,True,False,-0.0092003283,0.1599523466,True,False,-0.0682104857,0.0431702041,True,False,-0.1240248220,0.0712606201,True,False,-0.0026401786,0.1624917704,730-1459d,25-100m
AAVEUSDT,2025-05-20,2025-05-19,0.2301112522,2.0000000000,0.2150493417,67025244.8293099999,1480,TRADING,True,False,0.0033107122,0.0472231191,False,False,-0.0871239895,0.0366080077,True,True,0.0570043036,0.0797546012,True,True,0.1417828724,0.0405634485,True,True,0.2155886611,0.0456086535,1460d+,25-100m
AAVEUSDT,2025-05-25,2025-05-24,0.2222716309,2.0000000000,0.2204725694,76214135.8757099956,1485,TRADING,True,True,0.0575203054,0.0283750239,True,False,0.1275308401,0.0371204888,True,True,-0.0281633055,-0.0563681497,False,False,0.3477989137,-0.0168417033,True,False,0.0893947152,-0.0183692954,1460d+,25-100m
AAVEUSDT,2025-05-29,2025-05-28,0.2397062525,2.0000000000,0.3625475199,35214344.5519400015,1489,TRADING,True,False,-0.0793375382,-0.0565681724,True,True,-0.1702382561,-0.0675497189,True,True,0.0620084789,-0.0032454055,True,True,0.2974190597,0.1465715687,True,True,0.0339695950,-0.0216234575,1460d+,25-100m
AAVEUSDT,2025-05-31,2025-05-30,0.3500000000,1.0000000000,0.2572132822,53599877.1810899973,1491,TRADING,True,True,-0.0649040184,-0.0154207842,True,True,0.0996189319,0.0272951865,True,True,0.1624993252,-0.0002789289,True,True,0.3461291927,0.1602247370,True,True,0.2616761528,0.1101769206,1460d+,25-100m
AAVEUSDT,2025-06-07,2025-06-06,0.1329637367,2.0000000000,0.4197126074,33877411.6721300036,1498,TRADING,False,False,0.1485588757,0.0261070589,True,True,0.1301416757,0.1292199769,True,True,0.1836298676,0.1605484475,True,False,-0.0727190481,-0.0142692016,True,True,0.1064410183,0.1453226514,1460d+,25-100m
AAVEUSDT,2025-06-10,2025-06-09,0.3500000000,1.0000000000,0.5498542831,44123840.6367499977,1501,TRADING,True,False,0.1266395550,0.0883484522,True,True,0.0895367893,0.0374501430,True,True,-0.1009550772,-0.0289082630,True,False,-0.2399869985,-0.0927252833,True,True,0.1208877342,0.0648406339,1460d+,25-100m
AAVEUSDT,2025-06-12,2025-06-11,0.3500000000,1.0000000000,0.6599665796,67376948.6904100031,1503,TRADING,True,True,-0.0205755073,-0.0326169239,True,True,-0.2041547677,-0.0945265444,True,True,-0.2293285768,-0.1473521377,True,False,-0.2533875919,-0.1575881249,True,True,0.0894204932,-0.0211302373,1460d+,25-100m
AAVEUSDT,2025-06-25,2025-06-24,0.2574623513,1.0000000000,0.4419267134,54500031.0889599994,1516,TRADING,True,False,-0.0353477256,-0.0309329093,True,True,-0.0454095985,-0.0184007269,True,False,-0.0423865546,-0.0158640012,True,True,0.1327116579,0.1093442375,True,False,0.0541437492,0.0830304407,1460d+,25-100m
AAVEUSDT,2025-06-27,2025-06-26,0.1465972165,2.0000000000,0.3522934218,45839090.7990899980,1518,TRADING,True,True,0.0442236931,0.0357970435,True,True,0.1665960133,0.1131042749,True,False,0.0599791386,0.1161406312,True,True,0.4399319664,0.2335597283,False,False,0.1213618945,0.1782660807,1460d+,25-100m
AAVEUSDT,2025-06-30,2025-06-29,0.3500000000,1.0000000000,0.5188894351,39153522.5924199969,1521,TRADING,True,False,-0.1385206610,-0.0148235885,True,True,-0.1023583765,-0.0087936542,True,True,0.0072641907,0.0313700154,True,True,0.2343285301,0.0975916155,True,False,-0.1710372039,0.0134237823,1460d+,25-100m
AAVEUSDT,2025-07-03,2025-07-02,0.1420559839,2.0000000000,0.4165310586,48623385.6429300010,1524,TRADING,True,False,-0.0042584982,0.0116236964,False,False,0.0020165726,-0.0094148320,True,True,0.2542109587,0.0924101970,True,False,0.4881314969,0.1704446698,False,False,-0.4182615415,-0.0753186559,1460d+,25-100m
AAVEUSDT,2025-07-07,2025-07-06,0.1518457181,2.0000000000,0.5261536257,32122003.5145899989,1528,TRADING,True,True,-0.0325044745,-0.0143727162,True,True,0.1445883916,0.0498694971,True,True,0.2270643394,0.0642074126,True,False,0.3612314273,0.1286236297,False,False,-0.5306956128,-0.1112232469,1460d+,25-100m
ACHUSDT,2023-03-23,2023-03-22,0.2383847583,2.0000000000,0.3785561427,25909744.0035800003,437,TRADING,False,False,-0.0029496637,0.0148190368,False,False,-0.0292829378,-0.0723852950,False,False,0.0538472613,0.0304930180,False,False,0.0214036998,0.0635508692,False,False,-0.1240570333,-0.0638358507,365-729d,25-100m
ACHUSDT,2023-03-31,2023-03-30,0.2330334996,2.0000000000,0.4331792262,28055258.8743599989,445,TRADING,False,False,-0.0058957960,0.0056866648,False,False,-0.0863016892,-0.0508956497,True,True,-0.0344334122,0.1430196190,False,False,0.1432749704,0.1376172875,False,False,-0.2074101371,-0.0685243105,365-729d,25-100m
ACHUSDT,2023-04-04,2023-04-03,0.2165845923,2.0000000000,0.3950241926,67230989.7569199950,449,TRADING,False,False,0.0187162687,0.0120675784,True,True,0.0037216214,0.0780370072,True,True,0.1087741208,0.1657280772,False,False,0.2179643960,0.0289621883,False,False,-0.1624852166,-0.1834271923,365-729d,25-100m
ACHUSDT,2023-04-07,2023-04-06,0.2282112265,2.0000000000,0.3987458140,47943301.3312700018,452,TRADING,True,True,0.0622696126,-0.0139303483,True,True,0.0847072088,0.0241293532,False,False,0.1777083826,-0.0047263682,False,False,0.0215855757,-0.1415422886,False,False,-0.2844080671,-0.3226368159,365-729d,25-100m
ACHUSDT,2023-04-10,2023-04-09,0.3079527082,1.0000000000,0.4834530228,60048117.4391900003,455,TRADING,True,True,0.0203452906,0.0558659218,True,True,0.0800533143,0.0021860578,False,False,0.2039267083,-0.0085013359,False,False,-0.2757742825,-0.1853291231,False,False,-0.4418993490,-0.4376973524,365-729d,25-100m
ADAUSDT,2021-05-12,2021-05-11,0.2248083495,2.0000000000,0.7904110635,888681876.9139209986,11,TRADING,True,False,-0.0730398298,-0.1099137931,True,False,-0.1161415573,0.1382146098,True,False,-0.1631327346,0.1363430127,True,True,-0.4214231915,-0.1191016334,True,False,-0.4991705381,-0.1306715064,240-364d,500m-2b
