symbol,spell_number,start,end,duration_days,mean_weight,max_weight,arithmetic_gross_contribution,asset_compound_return_during_spell,positive_contribution
AAVEUSDT,1,2023-12-29,2023-12-29,1,0.2481862405,0.2481862405,-0.0133821820,-0.0539199192,False
AAVEUSDT,2,2024-08-14,2024-08-14,1,0.0935929449,0.0935929449,0.0078871535,0.0842708120,True
AAVEUSDT,3,2024-08-22,2024-08-25,4,0.1739788611,0.1739788611,-0.0053980300,-0.0334617580,False
AAVEUSDT,4,2024-08-28,2024-08-29,2,0.1317890885,0.1317890885,0.0037327291,0.0275045841,True
AAVEUSDT,5,2024-08-31,2024-08-31,1,0.1596503864,0.1596503864,-0.0018131027,-0.0113567073,False
AAVEUSDT,6,2024-09-03,2024-09-05,3,0.1528346091,0.1731068992,-0.0075315330,-0.0440326168,False
AAVEUSDT,7,2024-09-10,2024-09-12,3,0.1912934531,0.1912934531,0.0073833964,0.0360077159,True
AAVEUSDT,8,2024-09-19,2024-09-20,2,0.1973102230,0.2254491295,0.0171175101,0.0821811512,True
AAVEUSDT,9,2024-09-23,2024-09-23,1,0.1971621242,0.1971621242,0.0119676473,0.0606995250,True
AAVEUSDT,10,2024-09-26,2024-09-26,1,0.1943450166,0.1943450166,0.0001766131,0.0009087605,True
AAVEUSDT,11,2024-10-04,2024-10-05,2,0.0967161466,0.1124293422,0.0021641973,0.0329089265,True
AAVEUSDT,12,2024-10-08,2024-10-08,1,0.1069048676,0.1069048676,-0.0025727719,-0.0240659940,False
AAVEUSDT,13,2024-10-13,2024-10-13,1,0.1125950228,0.1125950228,-0.0000654918,-0.0005816584,False
AAVEUSDT,14,2024-10-15,2024-10-16,2,0.1264726222,0.1264726222,-0.0055646782,-0.0437611244,False
AAVEUSDT,15,2024-12-07,2024-12-11,5,0.2466954373,0.2466954373,0.0200267739,0.0745696539,True
AAVEUSDT,16,2024-12-23,2024-12-23,1,0.2308247526,0.2308247526,0.0467192715,0.2024014798,True
AAVEUSDT,17,2025-05-20,2025-05-20,1,0.2301112522,0.2301112522,0.0108665711,0.0472231191,True
AAVEUSDT,18,2025-05-25,2025-05-27,3,0.2617496000,0.3102251464,0.0093515044,0.0371204888,True
AAVEUSDT,19,2025-05-29,2025-05-29,1,0.2397062525,0.2397062525,-0.0135597446,-0.0565681724,False
AAVEUSDT,20,2025-05-31,2025-06-05,6,0.2689650733,0.3500000000,0.0002894028,-0.0368186165,True
AAVEUSDT,21,2025-06-07,2025-06-07,1,0.1329637367,0.1329637367,0.0034712921,0.0261070589,True
AAVEUSDT,22,2025-06-10,2025-06-10,1,0.3500000000,0.3500000000,0.0309219583,0.0883484522,True
AAVEUSDT,23,2025-06-12,2025-06-20,9,0.2667997081,0.3500000000,-0.0496431957,-0.1860250798,False
AAVEUSDT,24,2025-06-25,2025-06-25,1,0.2574623513,0.2574623513,-0.0079640596,-0.0309329093,False
AAVEUSDT,25,2025-06-27,2025-06-28,2,0.1465972165,0.1465972165,0.0056209405,0.0384338793,True
AAVEUSDT,26,2025-06-30,2025-06-30,1,0.3500000000,0.3500000000,-0.0051882560,-0.0148235885,False
AAVEUSDT,27,2025-07-03,2025-07-03,1,0.1420559839,0.1420559839,0.0016512156,0.0116236964,True
AAVEUSDT,28,2025-07-07,2025-07-16,10,0.2114964614,0.2694173347,0.0226690033,0.1248651470,True
ACHUSDT,1,2023-03-23,2023-03-23,1,0.2383847583,0.2383847583,0.0035326325,0.0148190368,True
ACHUSDT,2,2023-03-31,2023-03-31,1,0.2330334996,0.2330334996,0.0013251834,0.0056866648,True
ACHUSDT,3,2023-04-04,2023-04-04,1,0.2165845923,0.2165845923,0.0026136516,0.0120675784,True
ACHUSDT,4,2023-04-07,2023-04-08,2,0.2282112265,0.2282112265,-0.0134266901,-0.0582089552,False
ACHUSDT,5,2023-04-10,2023-04-13,4,0.2492503203,0.3079527082,-0.0015532678,-0.0281758562,False
ADAUSDT,1,2021-05-12,2021-05-12,1,0.2248083495,0.2248083495,-0.0247095384,-0.1099137931,False
ADAUSDT,2,2021-05-22,2021-05-23,2,0.2481288568,0.2481288568,-0.0391099725,-0.1519395856,False
ADAUSDT,3,2021-05-25,2021-05-28,4,0.2605207831,0.2605207831,-0.0020491497,-0.0236774194,False
