month,first_size,last_size,jaccard_first_last,additions,removals
2021-05,72,43,0.4556962025,7,36
2021-06,42,24,0.4042553191,5,23
2021-07,20,18,0.3103448276,9,11
2021-08,20,61,0.2461538462,45,4
2021-09,57,31,0.4193548387,5,31
2021-10,33,45,0.4181818182,22,10
2021-11,47,44,0.5166666667,13,16
2021-12,43,22,0.3541666667,5,26
2022-01,18,10,0.4000000000,2,10
2022-02,9,6,0.5000000000,1,4
2022-03,13,35,0.1707317073,28,6
2022-04,37,2,0.0263157895,1,36
2022-05,3,2,0.2500000000,1,2
2022-06,2,0,0.0000000000,0,2
2022-07,0,6,0.0000000000,6,0
2022-08,6,5,0.1000000000,4,5
2022-09,4,2,0.2000000000,1,3
2022-10,4,15,0.1176470588,13,2
2022-11,11,4,0.1538461538,2,9
2022-12,5,1,0.2000000000,0,4
2023-01,1,17,0.0588235294,16,0
2023-02,18,16,0.2142857143,10,12
2023-03,18,6,0.1428571429,3,15
2023-04,6,5,0.2222222222,3,4
2023-05,6,8,0.1666666667,6,4
2023-06,8,5,0.0833333333,4,7
2023-07,2,6,0.1428571429,5,1
2023-08,5,5,0.4285714286,2,2
2023-09,3,3,0.0000000000,3,3
2023-10,9,13,0.1578947368,10,6
2023-11,12,10,0.2941176471,5,7
2023-12,9,27,0.2000000000,21,3
2024-01,32,17,0.3611111111,4,19
2024-02,15,34,0.1951219512,26,7
2024-03,41,38,0.3389830508,18,21
2024-04,48,17,0.3000000000,2,33
2024-05,17,15,0.5238095238,4,6
2024-06,16,9,0.4705882353,1,8
2024-07,9,6,0.2500000000,3,6
2024-08,8,7,0.5000000000,2,3
2024-09,6,17,0.2105263158,13,2
2024-10,24,8,0.1034482759,5,21
2024-11,11,43,0.0588235294,40,8
2024-12,46,21,0.2884615385,6,31
2025-01,24,19,0.3437500000,8,13
2025-02,16,10,0.3684210526,3,9
2025-03,8,4,0.2000000000,2,6
2025-04,3,5,0.1428571429,4,2
2025-05,3,1,0.0000000000,1,3
2025-06,2,4,0.2000000000,3,1
2025-07,4,14,0.1250000000,12,2
2025-08,15,18,0.2222222222,12,9
2025-09,17,11,0.4000000000,3,9
2025-10,20,9,0.2083333333,4,15
2025-11,8,4,0.3333333333,1,5
2025-12,5,3,0.3333333333,1,3
2026-01,2,3,0.2500000000,2,1
2026-02,2,1,0.5000000000,0,1
2026-03,1,4,0.2500000000,3,0
2026-04,6,3,0.1250000000,2,5
2026-05,3,7,0.1111111111,6,2
2026-06,10,5,0.3636363636,1,6
2026-07,7,6,0.1818181818,4,5
2026-08,2,2,0.3333333333,1,1
