month,first_size,last_size,jaccard_first_last,additions,removals
2021-05,2,0,0.0000000000,0,2
2021-06,2,0,0.0000000000,0,2
2021-07,0,2,0.0000000000,2,0
2021-08,2,2,0.3333333333,1,1
2021-09,2,2,0.3333333333,1,1
2021-10,2,2,0.3333333333,1,1
2021-11,2,2,0.0000000000,2,2
2021-12,2,0,0.0000000000,0,2
2022-01,0,0,1.0000000000,0,0
2022-02,0,0,1.0000000000,0,0
2022-03,0,2,0.0000000000,2,0
2022-04,2,0,0.0000000000,0,2
2022-05,0,0,1.0000000000,0,0
2022-06,0,0,1.0000000000,0,0
2022-07,0,0,1.0000000000,0,0
2022-08,0,0,1.0000000000,0,0
2022-09,0,0,1.0000000000,0,0
2022-10,0,0,1.0000000000,0,0
2022-11,0,0,1.0000000000,0,0
2022-12,0,0,1.0000000000,0,0
2023-01,0,2,0.0000000000,2,0
2023-02,2,2,0.3333333333,1,1
2023-03,2,2,0.0000000000,2,2
2023-04,2,2,0.0000000000,2,2
2023-05,2,2,0.3333333333,1,1
2023-06,2,2,0.0000000000,2,2
2023-07,2,2,0.3333333333,1,1
2023-08,2,0,0.0000000000,0,2
2023-09,0,2,0.0000000000,2,0
2023-10,2,2,0.0000000000,2,2
2023-11,2,2,0.3333333333,1,1
2023-12,2,2,0.0000000000,2,2
2024-01,2,2,0.3333333333,1,1
2024-02,2,2,0.0000000000,2,2
2024-03,2,2,0.3333333333,1,1
2024-04,2,2,0.3333333333,1,1
2024-05,2,2,0.3333333333,1,1
2024-06,2,2,0.0000000000,2,2
2024-07,2,2,0.3333333333,1,1
2024-08,2,2,0.3333333333,1,1
2024-09,2,2,0.3333333333,1,1
2024-10,2,2,0.0000000000,2,2
2024-11,2,2,0.0000000000,2,2
2024-12,2,2,0.0000000000,2,2
2025-01,2,2,0.3333333333,1,1
2025-02,2,2,1.0000000000,0,0
2025-03,2,0,0.0000000000,0,2
2025-04,0,2,0.0000000000,2,0
2025-05,2,2,0.0000000000,2,2
2025-06,1,1,1.0000000000,0,0
2025-07,2,2,0.3333333333,1,1
2025-08,2,2,0.3333333333,1,1
2025-09,2,2,0.3333333333,1,1
2025-10,2,2,1.0000000000,0,0
2025-11,2,0,0.0000000000,0,2
2025-12,0,0,1.0000000000,0,0
2026-01,0,0,1.0000000000,0,0
2026-02,0,0,1.0000000000,0,0
2026-03,0,0,1.0000000000,0,0
2026-04,0,0,1.0000000000,0,0
2026-05,0,0,1.0000000000,0,0
2026-06,0,0,1.0000000000,0,0
2026-07,0,0,1.0000000000,0,0
2026-08,0,0,1.0000000000,0,0
