date,net_return,gross_return,transaction_cost,turnover,worst_asset,worst_asset_contribution
2021-05-19,-0.2115471673,-0.2115471673,0.0000000000,0.0000000000,FTTUSDT,-0.0764279590
2023-09-23,-0.1166346501,-0.1161346501,0.0005000000,1.0000000000,FLMUSDT,-0.0861890882
2021-09-07,-0.1163864230,-0.1161475699,0.0002388531,0.4777062544,BTCUSDT,-0.0550677979
2021-05-12,-0.1101806169,-0.1099063920,0.0002742250,0.5484499844,BTCUSDT,-0.0621025015
2024-03-19,-0.1052391491,-0.1052391491,0.0000000000,0.0000000000,BTCUSDT,-0.0419508271
2021-09-20,-0.1036310715,-0.1036310715,0.0000000000,0.0000000000,BTCUSDT,-0.0447287622
2025-03-03,-0.1022607699,-0.1019834809,0.0002772890,0.5545779156,BTCUSDT,-0.0426932746
2023-07-21,-0.1021561010,-0.1018937876,0.0002623133,0.5246265980,AGLDUSDT,-0.1047243132
2021-05-21,-0.0999400372,-0.0996246609,0.0003153763,0.6307525481,BTCUSDT,-0.0404009560
2021-11-26,-0.0948867335,-0.0946451154,0.0002416181,0.4832362612,BTCUSDT,-0.0443843118
2023-11-18,-0.0893617275,-0.0890461051,0.0003156224,0.6312448444,YFIUSDT,-0.0848472341
2023-08-17,-0.0887526609,-0.0887526609,0.0000000000,0.0000000000,BCHUSDT,-0.0395510942
2021-05-28,-0.0883628623,-0.0883628623,0.0000000000,0.0000000000,BTCUSDT,-0.0371981766
2023-08-07,-0.0862720610,-0.0860580124,0.0002140486,0.4280972348,YGGUSDT,-0.0874279691
2021-05-23,-0.0843662612,-0.0843662612,0.0000000000,0.0000000000,BTCUSDT,-0.0373097483
2021-09-21,-0.0841870149,-0.0839291035,0.0002579114,0.5158228240,OMGUSDT,-0.0407884223
2024-03-05,-0.0835164330,-0.0832354504,0.0002809826,0.5619652146,DENTUSDT,-0.0338985403
2021-05-15,-0.0763069393,-0.0763069393,0.0000000000,0.0000000000,BTCUSDT,-0.0308825285
2021-05-17,-0.0754017546,-0.0751299498,0.0002718049,0.5436097026,BTCUSDT,-0.0311583731
2023-12-11,-0.0719549258,-0.0719549258,0.0000000000,0.0000000000,BTCUSDT,-0.0289579628
2023-12-24,-0.0713812433,-0.0711187595,0.0002624838,0.5249676136,ELFUSDT,-0.0610083804
2023-04-21,-0.0710983967,-0.0710983967,0.0000000000,0.0000000000,RNDRUSDT,-0.0317380806
2023-10-18,-0.0706599590,-0.0701599590,0.0005000000,1.0000000000,STRAXUSDT,-0.0623989537
2024-01-22,-0.0703665649,-0.0701131864,0.0002533784,0.5067568312,ASTRUSDT,-0.0262863169
2025-03-09,-0.0702873610,-0.0702873610,0.0000000000,0.0000000000,BTCUSDT,-0.0318251221
