refit_date,interval_end,days,start_p_riskoff,max_p_riskoff,max_p_riskoff_date,max_increase,min_btc_drawdown_252,crossings
2022-12-09,2023-01-07,30,0.9999998654613701,0.9999998654613701,2022-12-09,0.0,-0.633214621308354,"{'0.25': {'date': '2022-12-09', 'days_after_refit': 0}, '0.5': {'date': '2022-12-09', 'days_after_refit': 0}, '0.75': {'date': '2022-12-09', 'days_after_refit': 0}}"
2023-01-08,2023-02-06,30,1.0670394496372932e-10,0.9999999991222843,2023-01-31,0.9999999990155803,-0.5684598135550516,"{'0.25': {'date': '2023-01-14', 'days_after_refit': 6}, '0.5': {'date': '2023-01-14', 'days_after_refit': 6}, '0.75': {'date': '2023-01-14', 'days_after_refit': 6}}"
2023-02-07,2023-03-08,30,1.5083946292725348e-07,0.0005700542037398255,2023-02-12,0.0005699033642768983,-0.31070917442012425,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-03-09,2023-04-07,30,7.681871231630741e-13,8.950156393464261e-11,2023-04-05,8.873337681147953e-11,-0.18885243657969109,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-04-08,2023-05-07,30,5.177479738618658e-18,1.999421995837379e-13,2023-04-20,1.9993702210399928e-13,-0.10516615884829883,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-05-08,2023-06-06,30,6.329655479431437e-13,7.728094363278032e-08,2023-06-06,7.728031066723238e-08,-0.15553683945182528,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-06-07,2023-07-06,30,8.460948338089188e-05,0.0002636381092484034,2023-06-11,0.00017902862586751154,-0.17521719451221374,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-07-07,2023-08-05,30,2.6471366006779656e-13,0.003934838920034139,2023-07-21,0.003934838919769425,-0.07573226240159114,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-08-06,2023-09-04,30,2.6850458967709333e-10,9.932289402088556e-05,2023-08-31,9.932262551629587e-05,-0.1796000092833301,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-09-05,2023-10-04,30,3.375817279746107e-07,0.00037344523107867944,2023-09-11,0.00037310764935070484,-0.20002746848357122,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-10-05,2023-11-03,30,3.3541254462248516e-05,0.0014808647576293656,2023-11-03,0.001447323503167117,-0.14925178584883492,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-11-04,2023-12-03,30,7.557745628094294e-30,3.58217508424041e-28,2023-11-30,3.5065976279594667e-28,-0.05590730673935884,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2023-12-04,2024-01-02,30,1.6857931598891215e-11,4.1211812868228925e-11,2023-12-10,2.435388126933771e-11,-0.06605217587380308,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2024-01-03,2024-02-01,30,9.30924870578121e-17,1.942289748825341e-05,2024-01-25,1.942289748816032e-05,-0.15724933888578407,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
2024-02-02,2024-03-02,30,3.355494510209817e-33,2.979254793436025e-21,2024-02-23,2.9792547934326696e-21,-0.09303649077847909,"{'0.25': {'date': None, 'days_after_refit': None}, '0.5': {'date': None, 'days_after_refit': None}, '0.75': {'date': None, 'days_after_refit': None}}"
