side,target_notional,filled_notional,unfilled_notional,fill_fraction,base_filled,vwap,reference_mid,slippage_bps,levels_used,fully_fillable_in_returned_book,target,leg,api_coin
buy,1000.0,1000.0,0.0,1.0,0.015577779854815,64194.0,64193.5,0.0778895059472262,1,True,BTC,spot,@142
buy,10000.0,10000.0,0.0,1.0,0.155771514330218,64196.58974875936,64193.5,0.4813180087337443,5,True,BTC,spot,@142
buy,50000.0,50000.0,0.0,1.0,0.7788244738317757,64199.31792076668,64193.5,0.906309948309758,5,True,BTC,spot,@142
buy,100000.0,100000.0,0.0,1.0,1.5576068082985484,64201.0547637725,64193.5,1.176873635571063,7,True,BTC,spot,@142
sell,1000.0,1000.0,0.0,1.0,0.0155780225258205,64193.0,64193.5,0.0778895059472262,1,True,BTC,spot,@142
sell,10000.0,10000.0,0.0,1.0,0.1557802252582057,64193.0,64193.5,0.0778895059472262,1,True,BTC,spot,@142
sell,50000.0,50000.0,0.0,1.0,0.7789078682369803,64192.44436851375,64193.5,0.1644452298521503,3,True,BTC,spot,@142
sell,100000.0,100000.0,0.0,1.0,1.5578348606459052,64191.65633418826,64193.5,0.2872044384150118,5,True,BTC,spot,@142
buy,1000.0,1000.0,0.0,1.0,0.0155738981467061,64210.0,64209.5,0.0778700971038048,1,True,BTC,perp,BTC
buy,10000.0,10000.0,0.0,1.0,0.1557389814670612,64210.00000000001,64209.5,0.0778700971060253,1,True,BTC,perp,BTC
buy,50000.0,50000.0,0.0,1.0,0.778694907335306,64210.0,64209.5,0.0778700971038048,1,True,BTC,perp,BTC
buy,100000.0,100000.0,0.0,1.0,1.557389814670612,64210.0,64209.5,0.0778700971038048,1,True,BTC,perp,BTC
sell,1000.0,1000.0,0.0,1.0,0.015574140696787,64209.0,64209.5,0.0778700971038048,1,True,BTC,perp,BTC
sell,10000.0,10000.0,0.0,1.0,0.1557414069678705,64208.99999999999,64209.5,0.0778700971049151,1,True,BTC,perp,BTC
sell,50000.0,50000.0,0.0,1.0,0.7787070348393528,64209.0,64209.5,0.0778700971038048,1,True,BTC,perp,BTC
sell,100000.0,100000.0,0.0,1.0,1.5574140696787055,64209.0,64209.5,0.0778700971038048,1,True,BTC,perp,BTC
