date,old_beta,new_beta,btc_trend,btc_vol
2020-08-11,,,,
2020-08-12,,,,
2020-08-13,,,,
2020-08-14,,,,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,,,
2020-08-18,,,,
2020-08-19,,,,
2020-08-20,,,,
2020-08-21,,,,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,,,
2020-08-25,,,,
2020-08-26,,,,
2020-08-27,,,,
2020-08-28,,,,
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,,,
2020-09-01,,,,
2020-09-02,,,,
2020-09-03,,,,
2020-09-04,,,,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,,,
2020-09-08,,,,
2020-09-09,,,,
2020-09-10,,,,0.555601
2020-09-11,,,,0.552538
2020-09-12,,,,0.547766
2020-09-13,,,,0.548140
2020-09-14,,,,0.561440
2020-09-15,,,,0.562853
2020-09-16,,,,0.553802
2020-09-17,,,,0.547057
2020-09-18,,,,0.545037
2020-09-19,,,,0.546559
2020-09-20,,,,0.540839
2020-09-21,,,,0.561044
2020-09-22,,,,0.563273
2020-09-23,,,,0.567818
2020-09-24,,,,0.582835
2020-09-25,,,,0.580600
2020-09-26,,,,0.580027
2020-09-27,,,,0.576431
2020-09-28,,,,0.576603
2020-09-29,,,,0.573249
2020-09-30,,,,0.573291
2020-10-01,,,,0.567088
2020-10-02,,,,0.546597
2020-10-03,,,,0.362070
2020-10-04,,,,0.349571
2020-10-05,,,,0.336675
2020-10-06,,,,0.342786
2020-10-07,,,,0.341324
2020-10-08,,,,0.338180
2020-10-09,,,,0.338832
2020-10-10,,,,0.344055
2020-10-11,,,,0.344238
2020-10-12,,,,0.346277
2020-10-13,,,,0.345786
2020-10-14,,,,0.329764
2020-10-15,,,,0.328981
2020-10-16,,,,0.331410
2020-10-17,,,,0.331407
2020-10-18,,,,0.333628
2020-10-19,,,,0.338274
2020-10-20,,,,0.335120
2020-10-21,,,,0.364172
2020-10-22,,,,0.364937
2020-10-23,,,,0.345196
2020-10-24,,,,0.315769
2020-10-25,,,,0.316593
2020-10-26,,,,0.316907
2020-10-27,,,,0.342285
2020-10-28,,,,0.360317
2020-10-29,,,,0.360493
2020-10-30,,,,0.357373
2020-10-31,,,,0.349378
2020-11-01,,,,0.348303
2020-11-02,,,,0.356422
2020-11-03,,,,0.367704
2020-11-04,,,,0.367590
2020-11-05,,,,0.467483
2020-11-06,,,,0.469330
2020-11-07,,,,0.515649
2020-11-08,,,,0.528515
2020-11-09,,,,0.531933
2020-11-10,,,,0.533523
2020-11-11,,,,0.535966
2020-11-12,,,,0.539582
2020-11-13,,,,0.539063
2020-11-14,,,,0.547317
2020-11-15,,,,0.542436
2020-11-16,,,,0.554984
2020-11-17,,,,0.574138
2020-11-18,,,,0.574160
2020-11-19,,,,0.575762
2020-11-20,,,,0.551497
2020-11-21,,,,0.552545
2020-11-22,,,,0.558446
2020-11-23,,,,0.560565
2020-11-24,,,,0.566951
2020-11-25,,,,0.579710
2020-11-26,,,,0.664069
2020-11-27,,,,0.652687
2020-11-28,,,,0.658152
2020-11-29,,,,0.660699
2020-11-30,,,,0.704239
2020-12-01,,,,0.733717
2020-12-02,,,,0.728937
2020-12-03,,,,0.724293
2020-12-04,,,,0.746159
2020-12-05,,,,0.678658
2020-12-06,,,,0.678254
2020-12-07,,,,0.649369
2020-12-08,,,,0.662764
2020-12-09,,,,0.660795
2020-12-10,,,,0.664634
2020-12-11,,,,0.663787
2020-12-12,,,,0.666395
2020-12-13,,,,0.668195
2020-12-14,,,,0.663966
2020-12-15,,,,0.662288
2020-12-16,,,,0.716548
2020-12-17,,,,0.726785
2020-12-18,,,,0.726956
2020-12-19,,,,0.730328
2020-12-20,,,,0.722794
2020-12-21,,,,0.735700
2020-12-22,,,,0.744343
2020-12-23,,,,0.752409
2020-12-24,,,,0.743830
2020-12-25,,,,0.744335
2020-12-26,,,,0.686625
2020-12-27,,,,0.689169
2020-12-28,,,,0.688088
2020-12-29,,,,0.686831
2020-12-30,,,,0.660171
2020-12-31,,,,0.623879
2021-01-01,,,,0.623087
2021-01-02,,,,0.680391
2021-01-03,,,,0.648535
2021-01-04,,,,0.670967
2021-01-05,,,,0.686551
2021-01-06,,,,0.710300
2021-01-07,,,,0.687218
2021-01-08,,,,0.685487
2021-01-09,,,,0.683040
2021-01-10,,,,0.720986
2021-01-11,,,,0.797186
2021-01-12,,,,0.824279
2021-01-13,,,,0.861651
2021-01-14,,,,0.864131
2021-01-15,,,,0.876699
2021-01-16,,,,0.868955
2021-01-17,,,,0.871706
2021-01-18,,,,0.870292
2021-01-19,,,,0.872578
2021-01-20,,,,0.862013
2021-01-21,,,,1.007660
2021-01-22,,,,1.019349
2021-01-23,,,,1.027354
2021-01-24,,,,1.021488
2021-01-25,,,,0.998024
2021-01-26,,,,0.996637
2021-01-27,,,,1.025492
2021-01-28,,,,1.072760
2021-01-29,,,,1.062198
2021-01-30,,,,1.062273
2021-01-31,,,,1.071017
2021-02-01,,,,1.023048
2021-02-02,,,,1.037774
2021-02-03,,,,1.048634
2021-02-04,,,,1.033124
2021-02-05,,,,1.002903
2021-02-06,,,,0.975551
2021-02-07,,,,0.970424
2021-02-08,,,,1.154371
2021-02-09,,,,1.137728
2021-02-10,,,,1.110329
2021-02-11,,,,1.116351
2021-02-12,,,,1.079771
2021-02-13,,,,1.071289
2021-02-14,,,,1.044099
2021-02-15,,,,1.041940
2021-02-16,,,,1.042030
2021-02-17,,,,1.055051
2021-02-18,,,,1.051933
2021-02-19,,,,1.075012
2021-02-20,,,,0.921902
2021-02-21,,,,0.907490
2021-02-22,,,,0.934962
2021-02-23,,,,1.021842
2021-02-24,,,,1.020602
