date,V1_FROZEN_BASELINE,V1_SMOOTH_BETA_0038
2021-05-01,10264.043267,10217.618256
2021-05-02,10211.652835,10174.634594
2021-05-03,11202.581783,10988.374329
2021-05-04,10408.799725,10346.667253
2021-05-05,11247.652074,10832.534480
2021-05-06,11062.057600,10727.773978
2021-05-07,11061.412121,10728.057405
2021-05-08,11853.837957,11174.007122
2021-05-09,11905.177641,11201.800486
2021-05-10,11628.663017,11056.178595
2021-05-11,12154.596848,11354.017902
2021-05-12,10876.172490,10661.431073
2021-05-13,10647.070305,10548.007322
2021-05-14,11230.615341,10837.836743
2021-05-15,10325.683369,10394.269509
2021-05-16,10232.090567,10345.393430
2021-05-17,9432.306760,9973.572988
2021-05-18,10114.434559,10283.921944
2021-05-19,7325.179940,9063.470295
2021-05-20,7604.827817,9410.770340
2021-05-21,6747.877126,8976.779193
2021-05-22,6153.587398,8653.996065
2021-05-23,5309.727525,8176.643466
2021-05-24,5551.519403,8549.625003
2021-05-25,5425.741986,8464.397119
2021-05-26,5755.734156,8677.757888
2021-05-27,5517.650416,8526.308286
2021-05-28,4953.431238,8153.942207
2021-05-29,4896.226315,8060.485830
2021-05-30,4951.592985,8151.634039
2021-05-31,5036.202628,8290.923930
2021-06-01,4939.073674,8226.811670
2021-06-02,5290.368147,8458.228044
2021-06-03,5779.090464,8767.252166
2021-06-04,5393.659575,8535.999240
2021-06-05,5318.950854,8418.460555
2021-06-06,5335.021486,8443.896018
2021-06-07,5208.294406,8243.321327
2021-06-08,5198.176599,8227.307575
2021-06-09,5398.335697,8544.105290
2021-06-10,5365.320712,8491.851497
2021-06-11,5396.138096,8540.627081
2021-06-12,5313.276236,8409.479169
2021-06-13,5479.985769,8673.335269
2021-06-14,5559.813884,8799.681584
2021-06-15,5515.984276,8771.086287
2021-06-16,5354.229786,8668.547795
2021-06-17,5339.359220,8645.264748
2021-06-18,5221.882840,8455.051958
2021-06-19,5203.816099,8425.799055
2021-06-20,5210.112276,8435.993560
2021-06-21,4994.742942,8087.276638
2021-06-22,5034.633646,8151.865978
2021-06-23,5085.633278,8234.442427
2021-06-24,5127.553224,8302.317433
2021-06-25,4972.254549,8050.864382
2021-06-26,5009.754028,8111.581953
2021-06-27,5137.515084,8318.447255
2021-06-28,5127.152470,8301.668549
2021-06-29,5198.896548,8417.833526
2021-06-30,5156.149861,8348.619898
2021-07-01,5078.943803,8223.611113
2021-07-02,5093.499903,8247.179735
2021-07-03,5138.828295,8320.573551
2021-07-04,5170.004087,8371.052076
2021-07-05,5090.322218,8242.034561
2021-07-06,5113.085669,8278.892179
2021-07-07,5097.788098,8254.122999
2021-07-08,5055.307065,8185.339505
2021-07-09,5096.660960,8252.297984
2021-07-10,5083.168318,8230.451268
2021-07-11,5115.986399,8283.588917
2021-07-12,5056.205331,8186.793940
2021-07-13,5037.627199,8156.713013
2021-07-14,5042.359390,8164.375178
2021-07-15,4993.159508,8084.712808
2021-07-16,4966.687637,8041.850674
2021-07-17,4974.030568,8053.740038
2021-07-18,4984.686240,8070.993251
2021-07-19,4945.542016,8007.612578
2021-07-20,4900.817645,7935.196767
2021-07-21,5003.754057,8101.867054
2021-07-22,5012.287527,8115.684089
2021-07-23,5095.306712,8250.105243
2021-07-24,5132.861251,8310.911965
2021-07-25,5199.692795,8419.122776
2021-07-26,5331.516911,8632.566813
2021-07-27,5526.697532,8799.624527
2021-07-28,5563.959261,8835.467031
2021-07-29,5642.186747,8903.466468
2021-07-30,5862.094689,9115.295347
2021-07-31,6166.410772,9404.407720
2021-08-01,5972.865280,9221.172225
2021-08-02,5952.656380,9202.521713
2021-08-03,5843.664749,9117.278565
2021-08-04,6220.072761,9464.488454
2021-08-05,6451.311013,9678.850254
2021-08-06,6695.852652,9904.407210
2021-08-07,7075.520700,10273.797158
2021-08-08,6799.142381,9997.390327
2021-08-09,7109.569208,10321.768111
2021-08-10,7149.239258,10350.806391
2021-08-11,7208.902308,10410.601714
2021-08-12,7010.820964,10216.528615
2021-08-13,7621.896817,10822.362896
2021-08-14,7495.865772,10700.274449
2021-08-15,7967.026186,11169.906580
2021-08-16,8072.321247,11295.749408
2021-08-17,7948.761887,11171.027804
2021-08-18,8275.371875,11455.258571
2021-08-19,8567.369601,11721.795604
2021-08-20,9028.957136,12138.469686
2021-08-21,8749.871920,11858.828036
2021-08-22,8744.268048,11855.830117
2021-08-23,8959.996708,12079.899748
2021-08-24,8512.117415,11618.259040
2021-08-25,8690.629991,11803.995467
2021-08-26,8532.238149,11647.027916
2021-08-27,9259.232928,12336.070322
2021-08-28,9509.779044,12554.781695
2021-08-29,9399.371298,12457.416625
2021-08-30,9724.503888,12732.714584
2021-08-31,9896.485473,12874.322992
2021-09-01,10510.206388,13377.459555
2021-09-02,11074.224497,13870.146027
2021-09-03,11839.332232,14481.522530
2021-09-04,11560.605549,14263.839314
2021-09-05,11839.096822,14482.823114
2021-09-06,12515.804646,15010.711360
2021-09-07,11766.752423,14387.356581
2021-09-08,12192.485217,14637.064540
2021-09-09,12065.050735,14546.067924
2021-09-10,11496.835356,14148.247531
2021-09-11,11576.853398,14208.412481
2021-09-12,11693.881907,14286.589726
2021-09-13,11356.953240,14038.304701
