date,PRICE_ONLY,BINANCE_ALL_PERP_COMMON,HYPERLIQUID_ALL_PERP_NATIVE,BINANCE_COMMON_COMPOUNDED_SENSITIVITY,HYPERLIQUID_COMMON_COMPOUNDED_SENSITIVITY
2023-06-18,9933.2472718220,9931.3955510590,9934.1190900315,9931.3955510590,9934.1190787774
2023-06-19,10123.4447421364,10119.8242581409,10124.6769529162,10119.8242581409,10124.6769348365
2023-06-20,10675.3704233536,10671.4132848650,10670.7611836046,10671.4132848650,10670.7602981639
2023-06-21,11311.1061803461,11304.7827477917,11291.4811145632,11304.7827477917,11291.4771434085
2023-06-22,11270.0148554672,11260.4218765554,11244.5024195882,11260.4218765554,11244.4979156737
2023-06-23,11573.0356401887,11559.7163553183,11542.8940350239,11559.7163553183,11542.8887089776
2023-06-24,11512.2981004439,11495.5995791413,11472.5749376578,11495.5995791413,11472.5684325037
2023-06-25,11487.8741118699,11467.7702287088,11440.7352259742,11467.7702287088,11440.7280176733
2023-06-26,11414.4663840196,11391.0731885046,11360.1567285839,11391.0731885046,11360.1488644081
2023-06-27,11574.5214695960,11547.3355902513,11507.9107704276,11547.3355902513,11507.9010414578
2023-06-28,11342.6011301078,11313.2558504915,11273.9806491394,11313.2558504915,11273.9709552770
2023-06-29,11482.0861163351,11449.4172262924,11408.5812396225,11449.4172262924,11408.5711881065
2023-06-30,11491.3964204913,11455.2640043785,11404.1038802866,11455.2640043785,11404.0913089383
2023-07-01,11534.3467479861,11494.6304352446,11433.8090206956,11494.6304352446,11433.7942959582
2023-07-02,11546.0854956717,11502.8774405259,11427.3867913052,11502.8774405259,11427.3679591795
2023-07-03,11749.3999883995,11701.9200415822,11604.7053773095,11701.9200415822,11604.6786590457
2023-07-04,11602.4527679868,11552.1005514860,11444.6573253599,11552.1005514860,11444.6281789293
2023-07-05,11503.7688905232,11450.4093616364,11340.8396807159,11450.4093616364,11340.8102084770
2023-07-06,11273.9789944360,11219.5296824448,11104.1376697945,11219.5296824448,11104.1072721695
