feature,family,nonmissing_fraction,status
btc_log_return_20d,BTC_TREND_MATURITY,1,PASS
btc_log_return_40d,BTC_TREND_MATURITY,1,PASS
btc_log_slope_20d_ann,BTC_TREND_MATURITY,1,PASS
btc_log_slope_40d_ann,BTC_TREND_MATURITY,1,PASS
btc_kama_gap,BTC_TREND_MATURITY,1,PASS
btc_kama_slope_10d,BTC_TREND_MATURITY,1,PASS
btc_distance_from_90d_high,BTC_TREND_MATURITY,1,PASS
btc_consolidation_duration_5pct,BTC_TREND_MATURITY,1,PASS
btc_rv20_ann,BTC_TREND_MATURITY,1,PASS
btc_rv20_to_rv60,BTC_TREND_MATURITY,1,PASS
btc_daily_rsi14,MOMENTUM_EXHAUSTION,1,PASS
btc_daily_rsi28,MOMENTUM_EXHAUSTION,1,PASS
btc_4h_rsi14,MOMENTUM_EXHAUSTION,1,PASS
btc_4h_rsi28,MOMENTUM_EXHAUSTION,1,PASS
btc_price_rsi_rank_divergence_20d,MOMENTUM_EXHAUSTION,1,PASS
btc_rsi14_extreme_persistence_14d,MOMENTUM_EXHAUSTION,1,PASS
btc_rsi14_failure_from_14d_max,MOMENTUM_EXHAUSTION,1,PASS
eth_btc_log_return_20d,LEADERSHIP_MIGRATION,1,PASS
sol_btc_log_return_20d,LEADERSHIP_MIGRATION,1,PASS
bnb_btc_log_return_20d,LEADERSHIP_MIGRATION,1,PASS
eth_btc_log_return_40d,LEADERSHIP_MIGRATION,1,PASS
sol_btc_log_return_40d,LEADERSHIP_MIGRATION,1,PASS
bnb_btc_log_return_40d,LEADERSHIP_MIGRATION,1,PASS
brkk_return_dispersion_20d,LEADERSHIP_MIGRATION,1,PASS
alt_outperformance_breadth_20d,BREADTH,1,PASS
canonical5_outperformance_breadth_20d,BREADTH,1,PASS
high_beta_participation_20d,BREADTH,1,PASS
breadth_acceleration_10d,BREADTH,1,PASS
breadth_contraction_from_10d_max,BREADTH,1,PASS
