date,btc_log_return_20d,btc_log_return_40d,btc_log_slope_20d_ann,btc_log_slope_40d_ann,btc_kama_gap,btc_kama_slope_10d,btc_distance_from_90d_high,btc_consolidation_duration_5pct,btc_rv20_ann,btc_rv20_to_rv60,btc_daily_rsi14,btc_daily_rsi28,btc_4h_rsi14,btc_4h_rsi28,btc_price_rsi_rank_divergence_20d,btc_rsi14_extreme_persistence_14d,btc_rsi14_failure_from_14d_max,eth_btc_log_return_20d,sol_btc_log_return_20d,bnb_btc_log_return_20d,eth_btc_log_return_40d,sol_btc_log_return_40d,bnb_btc_log_return_40d,brkk_return_dispersion_20d,alt_outperformance_breadth_20d,canonical5_outperformance_breadth_20d,high_beta_participation_20d,breadth_acceleration_10d,breadth_contraction_from_10d_max
2020-10-01,,,,,0,,,0,,,100,100,,,,,,,,,,,,,0,0,0,,
2020-10-02,,,,,-0.00456987498265,,,0,,,100,100,100,100,,,,,,,,,,,0,0,0,,
2020-10-03,,,,,-0.00720878184978,,,0,,,100,100,100,100,,,,,,,,,,,0,0,0,,
2020-10-04,,,,,0.00450360288099,,,0,,,100,100,50.294102811,100,,,,,,,,,,,0,0,0,,
2020-10-05,,,,,0.0162607147829,,,0,,,100,100,60.3759683067,100,,,,,,,,,,,0,0,0,,
2020-10-06,,,,,-0.0018632016012,,,0,,,100,100,69.3039663697,69.0319935417,,,,,,,,,,,0,0,0,,
2020-10-07,,,,,0.00440207278656,,,0,,,100,100,46.3378567599,55.4873896899,,,,,,,,,,,0,0,0,,
2020-10-08,,,,,0.0286844458758,,,0,,,100,100,53.3585875821,57.9310065599,,,,,,,,,,,0,0,0,,
2020-10-09,,,,,0.0402850741249,,,0,,,100,100,68.5362510334,65.4872741708,,,,,,,,,,,0,0,0,,
2020-10-10,,,,,0.0628418272799,,,0,,,100,100,69.179025423,66.578455762,,,,,,,,,,,0,0,0,0,0
2020-10-11,,,,,0.0572471279815,0.0126458306443,,0,,,100,100,68.5281731216,67.693624687,,,,,,,,,,,0,0,0,0,0
2020-10-12,,,,,0.0547904941335,0.0292397165825,,0,,,100,100,67.5560348743,67.4475722928,,,,,,,,,,,0,0,0,0,0
2020-10-13,,,,,0.0366341105199,0.0375149128093,,0,,,100,100,67.4326332355,67.2914767781,,,,,,,,,,,0,0,0,0,0
2020-10-14,,,,,0.0304558288144,0.0434718622343,,0,,,100,100,57.7822522629,61.5893571022,,1,0,,,,,,,,0,0,0,0,0
2020-10-15,,,,,0.032308928389,0.0494849603804,,0,,,63.8932316654,100,56.4943527235,59.9519336424,,0.928571428571,36.1067683346,,,,,,,,0,0,0,0,0
2020-10-16,,,,,0.0131681406216,0.0520513672518,,0,,,55.319288748,100,59.8497895073,60.7449169513,,0.857142857143,44.680711252,,,,,,,,0,0,0,0,0
