event_id,event_class,terminal_label,anchor_date,search_window_start,search_window_end,outcome_window_end
P5E-2021-SPRING-MAJOR-TOP,LOCAL_MAJOR_TOP_NONTERMINAL,False,2021-04-13,2021-03-15,2021-05-15,2021-07-31
P5E-2021-SUMMER-SECOND-WIND,SECOND_WIND_TRANSITION,False,2021-07-20,2021-05-16,2021-07-31,2021-10-31
P5E-2021-NOV-TERMINAL-TOP,TERMINAL_TOP_BEAR_TRANSITION,True,2021-11-08,2021-10-01,2021-11-30,2022-03-31
P5E-2025-JUNE-NEW-HIGH,TEMPORARY_NEW_HIGH_PHASE,False,2025-05-22,2025-05-01,2025-06-30,2025-08-31
P5E-2025-AUG-NEW-HIGH,SECOND_WIND_NEW_HIGH_PHASE,False,2025-08-13,2025-07-01,2025-08-31,2025-10-31
P5E-2025-OCT-NEW-HIGH-DELEVERAGING,NEW_HIGH_DELEVERAGING_PHASE,False,2025-10-06,2025-09-01,2025-10-31,2025-12-31
P5E-2025-LATE-DETERIORATION,POST_DELEVERAGING_DETERIORATION,False,2025-10-06,2025-10-01,2025-12-31,2025-12-31
P5C-2021-JAN-FEB-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2021-02-28,2021-01-01,2021-02-28,2021-05-15
P5C-2021-SEP-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2021-09-21,2021-08-20,2021-10-15,2021-11-30
P5C-2024-MAR-MAY-MASKING,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2024-03-19,2024-03-01,2024-05-15,2024-08-31
P5C-2025-PRE-JUNE-HIGH-VOL,HIGH_VOLATILITY_NON_TOP_CONTROL,False,2025-03-10,2025-02-01,2025-05-15,2025-08-31
