date,PIT_ALPHA_TOP1,PIT_ALPHA_TOP2_PRIMARY,PIT_ALPHA_TOP3,PIT_ALPHA_EQUAL_WEIGHT_ALL_ELIGIBLE,BTC_HOLD,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2021-05-01,10059.9258946701,10187.6542654310,10124.6077073727,10095.9577812110,10018.3900411601,10018.3900411601,10269.0432668376
2021-05-02,9923.8693057387,10164.1379026017,10082.2313656441,9899.6508399207,9806.5561796691,9806.5561796691,10216.6273131953
2021-05-03,10558.2531638055,10687.4999563354,10517.4915869339,10107.6066376327,9909.0238944006,9909.0238944006,11208.0389798001
2021-05-04,9819.8447644389,9974.7978338793,9828.4311267582,9344.5394224252,9221.0214289911,9221.0214289911,10413.8702414166
2021-05-05,10624.7086856273,10806.4454917019,10590.4495066177,10232.3821838493,9955.2537886345,9955.2537886345,11253.1312271062
2021-05-06,10459.2147174742,10641.0240393921,10407.1125442937,10228.8706694200,9774.5720675554,9774.5720675554,11067.4463431531
2021-05-07,10604.8449842990,10747.8737965820,10485.5556541725,10361.0393815452,9934.2187707722,9934.2187707722,11066.8005490663
2021-05-08,10959.3559484720,11330.9227924215,10972.6382716501,10596.6424166482,10202.4083154185,10202.4083154185,11859.6124059389
2021-05-09,10864.0764636858,11264.2580017561,10910.0762847918,10569.7378057842,10094.7355777272,10094.7355777272,11910.9770988398
2021-05-10,10587.5321692382,10866.5069140090,10454.9887265981,9816.9561772190,9674.4685390768,9674.4685390768,11634.3277747229
2021-05-11,10818.2533563346,11191.9919455771,10745.6471753182,10265.0443708005,9822.4693717418,9822.4693717418,12160.5178078620
2021-05-12,9623.3167587352,9958.8513681640,9529.1421259161,8856.6752292585,8602.4695346696,8602.4695346696,10881.4706814669
2021-05-13,9549.8058549567,9837.1438138971,9393.5862609522,9037.9766652208,8609.3419675819,8609.3419675819,10652.2568914930
2021-05-14,9767.6811931485,10226.8808700417,9738.7031999793,9362.4882413916,8638.8908291933,8638.8908291933,11236.0861942001
2021-05-15,9105.8876024361,9446.4988920847,9030.6356849313,8757.5769001882,8105.3092447482,8105.3092447482,10330.7133959370
2021-05-16,9106.6839156909,9409.2856654454,8998.0919366321,8774.4125065813,8047.8529323623,8047.8529323623,10237.0750017682
2021-05-17,8468.0482075591,8699.8090167054,8280.9960389438,8190.7537153916,7546.3369239268,7546.3369239268,9436.9015897121
2021-05-18,8409.9146200049,8710.0356554185,8259.5024395043,8335.4557724262,7427.0425815250,7427.0425815250,10119.3616788549
2021-05-19,6797.0047344361,6867.4522855633,6439.5738172613,6223.0745714158,6359.3992956320,6359.3992956320,7328.7483095305
2021-05-20,7057.2993896330,7130.4447645439,6686.1804788525,6461.3902873994,7024.3786774666,6602.9356342974,7608.5324131470
2021-05-21,6383.1863101076,6417.8278497330,5994.6890587632,5736.6188990656,6456.7954495308,6067.3234008217,6751.1642693415
2021-05-22,6280.1204705721,6253.9553514552,5822.8762165408,5524.1469583592,6491.0657505503,6099.5265271177,6156.5850406264
2021-05-23,5749.4437440367,5726.3325207154,5322.1089607803,4888.9637203850,6006.7056919171,5644.3829282320,5312.3140925829
2021-05-24,6011.2592124033,5987.0955610510,5564.4646585311,5111.5950536523,6724.4615453146,5901.4141865216,5554.2237562269
2021-05-25,5966.2568066360,5982.7689922843,5546.5550573097,5074.4332327551,6642.7255254291,5827.8637220714,5428.3850680581
2021-05-26,6362.7768089799,6376.2957132400,5909.3036018313,5429.2921632509,6801.6997181869,5967.3365825971,5758.5379899407
2021-05-27,6132.6540185176,6127.2338261356,5706.4323573389,5242.5930123751,6678.3027153303,5859.0766652473,5520.3382697958
2021-05-28,5575.5439359545,5585.8139075244,5195.8828529554,4752.5929671081,6181.4613478947,5423.1827283658,4955.8442402652
2021-05-29,5511.3196546926,5521.4713272140,5136.0318598352,4697.8481976383,5998.0219872788,5360.7134846683,4898.6114500120
2021-05-30,5573.6418182118,5583.9082861423,5194.1102580163,4750.9716021776,6177.6100122248,5421.3325892210,4954.0050912689
2021-05-31,5668.8806328779,5679.3225276242,5282.8638809351,4832.1531561169,6457.1074389190,5513.9688415221,5038.6559511790
2021-06-01,5610.5138379210,5599.1128568831,5198.9346737092,4736.4616667248,6359.9192779456,5429.2604444470,4941.4796816962
2021-06-02,5716.8758842699,5688.2464112388,5386.5410754887,4894.9247423932,6511.6830492872,5558.8163404632,5292.9452830190
2021-06-03,5987.7324573441,5967.5874946163,5562.5545872102,5149.8385148042,6802.5455560838,5807.1163948993,5781.9056750762
2021-06-04,5740.2979581143,5667.3572609093,5266.3392826340,4766.4975340154,6383.4762100292,5449.3702467832,5396.2870285148
2021-06-05,5660.7878758920,5588.8574957254,5193.3941023615,4700.4757676181,6155.4119672543,5373.8898658791,5321.5419145046
2021-06-06,5677.8913310293,5605.7436210391,5209.0853780262,4714.6777441234,6204.4826981952,5390.1264898701,5337.6203748516
2021-06-07,5543.0197866732,5472.5858595825,5085.3497605835,4602.6861910241,5815.6191247415,5262.0904564943,5210.8315616863
2021-06-08,5532.2517307106,5461.9546309266,5075.4707897484,4593.7448586113,5785.8102719733,5251.8681432614,5200.7088256999
2021-06-09,5745.2746044788,5672.2706701286,5270.9050226769,4770.6299279777,6480.3749141813,5454.0946685510,5400.9654289077
2021-06-10,5710.1378199526,5637.5803609561,5238.6693739412,4741.4538472204,6356.9085803495,5420.7386738690,5367.9343604952
2021-06-11,5742.9357684777,5669.9615531996,5268.7592971417,4768.6878587484,6470.6564447388,5451.8743685929,5398.7667572592
2021-06-12,5654.7485631377,5582.8949231832,5187.8534370110,4695.4609810058,6161.1161732352,5368.1566353962,5315.8645323695
2021-06-13,5832.1721432275,5758.0640210620,5350.6277000040,4842.7859218269,6763.3354230845,5536.5880975736,5482.6552757730
2021-06-14,5917.1306318046,5841.9429609057,5428.5714285442,4913.3318114743,7022.5847384844,5617.2407506661,5562.5222780115
2021-06-15,5685.3553634306,5634.5245498009,5274.7535492694,4871.6976162260,6958.0635997301,5563.8923737688,5518.6713189340
2021-06-16,5542.1077606531,5470.1356652664,5098.8696572865,4684.5740270281,6646.9356488955,5315.1044160126,5356.8380315828
2021-06-17,5526.7153923211,5454.9431885730,5084.7083159284,4671.5633292906,6602.5568916983,5300.3425152290,5341.9602219771
2021-06-18,5405.1168084466,5334.9237340218,4972.8347550986,4568.7797688940,6208.5610928087,5183.7245788690,5224.4266144010
2021-06-19,5386.4161122524,5316.4658927752,4955.6296741957,4552.9726428939,6150.3022743853,5165.7898585032,5206.3510725824
2021-06-20,5392.9332204541,5322.8983671240,4961.6255672201,4558.4813549456,6170.4845212532,5172.0400275866,5212.6503173064
2021-06-21,5170.0066546239,5102.8668175499,4756.5278767016,4370.0483534011,5478.6948513258,4958.2444780120,4997.1760685797
2021-06-22,5211.2971082381,5143.6210563169,4794.5160664232,4404.9499097979,5634.7987417121,4997.8436849964,5037.0862041841
2021-06-23,5264.0862989053,5195.7247047987,4843.0833650305,4449.5709966095,5837.3335861603,5048.4706436465,5088.1106801479
2021-06-24,5307.4772012419,5238.5521149954,4883.0040170426,4486.2479980093,6008.0645790301,5090.0842655002,5130.0510475857
2021-06-25,5146.7291516834,5079.8916058557,4735.1120258076,4350.3725927703,5474.4517956463,4935.9204157570,4974.6767202420
2021-06-26,5185.5444735071,5118.2028559137,4770.8230359922,4383.1819960368,5595.6423402185,4973.1458717286,5012.1944664016
2021-06-27,5317.7886189052,5248.7296243393,4892.4907641282,4494.9639236919,6014.5210260915,5099.9733300807,5140.0177600141
