date,strategy,symbol,weight
2021-05-01,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-01,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-02,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-02,PIT_ALPHA_TOP1,ETHUSDT,0.3500000000
2021-05-03,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-03,PIT_ALPHA_TOP1,ETHUSDT,0.3500000000
2021-05-04,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-04,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-05,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-05,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-06,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-06,PIT_ALPHA_TOP1,ETHUSDT,0.3500000000
2021-05-07,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-07,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-08,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-08,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-09,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-09,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-10,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-10,PIT_ALPHA_TOP1,ETHUSDT,0.3500000000
2021-05-11,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-11,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-12,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-12,PIT_ALPHA_TOP1,ETHUSDT,0.3500000000
2021-05-13,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
2021-05-13,PIT_ALPHA_TOP1,FTTUSDT,0.3500000000
2021-05-14,PIT_ALPHA_TOP1,BTCUSDT,0.6500000000
