date,liquid_age_eligible_count,positive_trend_eligible_count
2021-05-01,76,72
2021-05-02,66,64
2021-05-03,78,75
2021-05-04,91,87
2021-05-05,78,76
2021-05-06,83,78
2021-05-07,91,85
2021-05-08,80,76
2021-05-09,71,70
2021-05-10,88,84
2021-05-11,69,68
2021-05-12,83,80
2021-05-13,85,83
2021-05-14,68,66
2021-05-15,71,70
2021-05-16,75,74
2021-05-17,71,68
2021-05-18,66,64
2021-05-19,91,78
2021-05-20,80,73
2021-05-21,81,71
2021-05-22,63,56
2021-05-23,75,52
2021-05-24,70,62
2021-05-25,69,61
2021-05-26,70,62
2021-05-27,63,56
2021-05-28,67,58
2021-05-29,52,45
2021-05-30,48,43
2021-05-31,48,43
2021-06-01,52,42
2021-06-02,56,51
2021-06-03,60,56
2021-06-04,59,55
2021-06-05,53,48
2021-06-06,45,38
2021-06-07,48,39
2021-06-08,57,49
2021-06-09,56,45
2021-06-10,51,39
2021-06-11,47,37
2021-06-12,39,30
2021-06-13,39,23
2021-06-14,47,28
2021-06-15,43,25
2021-06-16,47,29
2021-06-17,41,26
2021-06-18,41,28
2021-06-19,29,22
2021-06-20,37,21
2021-06-21,53,17
2021-06-22,57,16
2021-06-23,44,19
2021-06-24,37,19
2021-06-25,37,15
2021-06-26,35,16
2021-06-27,30,15
2021-06-28,35,15
2021-06-29,45,20
2021-06-30,46,24
2021-07-01,38,20
2021-07-02,31,16
2021-07-03,27,15
2021-07-04,34,17
2021-07-05,39,18
2021-07-06,42,24
2021-07-07,39,22
2021-07-08,45,21
2021-07-09,37,24
2021-07-10,31,18
2021-07-11,30,24
2021-07-12,32,24
2021-07-13,32,21
2021-07-14,36,18
2021-07-15,39,19
2021-07-16,35,13
2021-07-17,31,10
2021-07-18,27,13
2021-07-19,32,9
2021-07-20,38,10
2021-07-21,39,16
2021-07-22,36,19
2021-07-23,35,19
2021-07-24,41,22
2021-07-25,37,21
2021-07-26,63,19
2021-07-27,46,18
2021-07-28,42,18
2021-07-29,38,17
2021-07-30,37,13
2021-07-31,45,18
2021-08-01,49,20
2021-08-02,38,22
2021-08-03,32,17
2021-08-04,38,20
2021-08-05,43,22
2021-08-06,52,22
2021-08-07,67,30
2021-08-08,49,24
2021-08-09,56,29
2021-08-10,61,39
2021-08-11,76,50
2021-08-12,66,43
2021-08-13,58,36
2021-08-14,65,46
2021-08-15,58,50
2021-08-16,77,63
2021-08-17,78,59
2021-08-18,62,49
2021-08-19,63,52
2021-08-20,62,58
2021-08-21,70,63
2021-08-22,83,75
2021-08-23,78,73
2021-08-24,80,68
2021-08-25,73,61
2021-08-26,64,52
2021-08-27,65,55
2021-08-28,54,46
2021-08-29,62,51
2021-08-30,66,56
2021-08-31,72,61
2021-09-01,71,57
2021-09-02,75,62
2021-09-03,72,57
2021-09-04,76,60
2021-09-05,82,69
2021-09-06,90,77
2021-09-07,102,71
2021-09-08,82,58
2021-09-09,72,54
2021-09-10,70,51
2021-09-11,55,41
2021-09-12,64,49
2021-09-13,68,46
2021-09-14,56,40
2021-09-15,63,47
2021-09-16,70,56
2021-09-17,64,51
2021-09-18,54,46
2021-09-19,51,42
2021-09-20,75,50
2021-09-21,69,44
2021-09-22,57,41
2021-09-23,54,36
2021-09-24,68,43
2021-09-25,49,33
2021-09-26,62,39
2021-09-27,53,32
2021-09-28,49,31
2021-09-29,50,31
2021-09-30,47,31
2021-10-01,60,33
2021-10-02,58,35
2021-10-03,63,39
2021-10-04,62,33
2021-10-05,64,36
2021-10-06,76,36
2021-10-07,67,39
2021-10-08,62,37
2021-10-09,63,39
2021-10-10,56,27
2021-10-11,51,24
2021-10-12,54,25
2021-10-13,57,25
2021-10-14,59,26
2021-10-15,75,29
2021-10-16,62,24
2021-10-17,58,22
2021-10-18,55,19
2021-10-19,59,24
2021-10-20,65,29
2021-10-21,73,28
2021-10-22,65,24
2021-10-23,50,23
2021-10-24,59,27
2021-10-25,57,27
2021-10-26,67,34
2021-10-27,80,32
2021-10-28,67,29
2021-10-29,64,33
2021-10-30,71,38
2021-10-31,91,45
2021-11-01,87,47
2021-11-02,83,47
2021-11-03,91,47
2021-11-04,77,50
2021-11-05,70,46
2021-11-06,63,41
2021-11-07,60,40
2021-11-08,80,44
2021-11-09,82,45
2021-11-10,91,43
2021-11-11,76,47
2021-11-12,78,48
