date,PIT_ALPHA_0018_ELIGIBILITY_EXIT,PIT_ALPHA_0016_DAILY_TOP2,BTC_DYNAMIC_GROSS_1_0,FIXED_V1_GROSS_1_0
2021-05-01,10063.7631099836,10187.6542654310,10018.3900411601,10269.0432668376
2021-05-02,9802.9071763406,10164.1379026017,9806.5561796691,10216.6273131953
2021-05-03,10035.2268893631,10687.4999563354,9909.0238944006,11208.0389798001
2021-05-04,9251.2246031817,9974.7978338793,9221.0214289911,10413.8702414166
2021-05-05,10186.4479663347,10806.4454917019,9955.2537886345,11253.1312271062
2021-05-06,10368.6953100496,10641.0240393921,9774.5720675554,11067.4463431531
2021-05-07,10584.2190641678,10747.8737965820,9934.2187707722,11066.8005490663
2021-05-08,10814.2422717105,11330.9227924215,10202.4083154185,11859.6124059389
2021-05-09,10983.5593792283,11264.2580017561,10094.7355777272,11910.9770988398
2021-05-10,10252.5153257469,10866.5069140090,9674.4685390768,11634.3277747229
2021-05-11,10624.5949827676,11191.9919455771,9822.4693717418,12160.5178078620
2021-05-12,9283.1885863472,9958.8513681640,8602.4695346696,10881.4706814669
2021-05-13,10046.7459834284,9837.1438138971,8609.3419675819,10652.2568914930
2021-05-14,10230.3856784429,10226.8808700417,8638.8908291933,11236.0861942001
2021-05-15,10029.0769780449,9446.4988920847,8105.3092447482,10330.7133959370
2021-05-16,10186.4126786063,9409.2856654454,8047.8529323623,10237.0750017682
2021-05-17,9570.9453001402,8699.8090167054,7546.3369239268,9436.9015897121
2021-05-18,9474.8794666550,8710.0356554185,7427.0425815250,10119.3616788549
2021-05-19,7265.3211986832,6867.4522855633,6359.3992956320,7328.7483095305
2021-05-20,7543.5502643075,7130.4447645439,6602.9356342974,7608.5324131470
2021-05-21,6789.6475704948,6417.8278497330,6067.3234008217,6751.1642693415
2021-05-22,6583.5930225340,6253.9553514552,6099.5265271177,6156.5850406264
2021-05-23,6025.7109398673,5726.3325207154,5644.3829282320,5312.3140925829
2021-05-24,6300.1069340188,5987.0955610510,5901.4141865216,5554.2237562269
2021-05-25,6295.5541678887,5982.7689922843,5827.8637220714,5428.3850680581
2021-05-26,6709.6548613107,6376.2957132400,5967.3365825971,5758.5379899407
2021-05-27,6447.5717684410,6127.2338261356,5859.0766652473,5520.3382697958
2021-05-28,5877.8458723573,5585.8139075244,5423.1827283658,4955.8442402652
2021-05-29,5810.1393972839,5521.4713272140,5360.7134846683,4898.6114500120
2021-05-30,5875.8406231743,5583.9082861423,5421.3325892210,4954.0050912689
2021-05-31,5976.2432170922,5679.3225276242,5513.9688415221,5038.6559511790
2021-06-01,5891.8401041540,5599.1128568831,5429.2604444470,4941.4796816962
2021-06-02,6014.8445483006,5688.2464112388,5558.8163404632,5292.9452830190
2021-06-03,6311.5411720726,5967.5874946163,5807.1163948993,5781.9056750762
2021-06-04,5905.0188422803,5667.3572609093,5449.3702467832,5396.2870285148
2021-06-05,5823.2271762205,5588.8574957254,5373.8898658791,5321.5419145046
2021-06-06,5840.8214240436,5605.7436210391,5390.1264898701,5337.6203748516
2021-06-07,5702.0796694306,5472.5858595825,5262.0904564943,5210.8315616863
2021-06-08,5691.0026184103,5461.9546309266,5251.8681432614,5200.7088256999
2021-06-09,5910.1382961428,5672.2706701286,5454.0946685510,5400.9654289077
2021-06-10,5873.9932430117,5637.5803609561,5420.7386738690,5367.9343604952
2021-06-11,5907.7323460064,5669.9615531996,5451.8743685929,5398.7667572592
2021-06-12,5817.0145621943,5582.8949231832,5368.1566353962,5315.8645323695
2021-06-13,5999.5294056990,5758.0640210620,5536.5880975736,5482.6552757730
2021-06-14,6086.9258230139,5841.9429609057,5617.2407506661,5562.5222780115
2021-06-15,5870.8092859010,5634.5245498009,5563.8923737688,5518.6713189340
2021-06-16,5704.4264261938,5470.1356652664,5315.1044160126,5356.8380315828
2021-06-17,5688.5832422523,5454.9431885730,5300.3425152290,5341.9602219771
2021-06-18,5563.4232480412,5334.9237340218,5183.7245788690,5224.4266144010
2021-06-19,5544.1748410874,5316.4658927752,5165.7898585032,5206.3510725824
2021-06-20,5550.8828240163,5322.8983671240,5172.0400275866,5212.6503173064
2021-06-21,5321.4271280713,5102.8668175499,4958.2444780120,4997.1760685797
2021-06-22,5363.9269070216,5143.6210563169,4997.8436849964,5037.0862041841
2021-06-23,5418.2622009683,5195.7247047987,5048.4706436465,5088.1106801479
2021-06-24,5462.9239471189,5238.5521149954,5090.0842655002,5130.0510475857
2021-06-25,5297.4678676881,5079.8916058557,4935.9204157570,4974.6767202420
2021-06-26,5337.4200225567,5118.2028559137,4973.1458717286,5012.1944664016
2021-06-27,5473.5373682124,5248.7296243393,5099.9733300807,5140.0177600141
2021-06-28,5462.4969816643,5238.1426857580,5089.6864400566,5129.6500984605
2021-06-29,5538.9335236674,5311.4398454200,5160.9062563172,5201.4291248889
2021-06-30,5493.3909645113,5267.7677987471,5118.4719361592,5158.6616151139
2021-07-01,5411.1351975996,5188.8904199117,5041.8300518941,5081.4179471991
2021-07-02,5426.6433480250,5203.7616235010,5056.2797849000,5095.9811379201
2021-07-03,5474.9364709325,5250.0712634659,5101.2769452893,5141.3316110661
2021-07-04,5508.1513345478,5281.9219345947,5132.2249241200,5172.5225900243
2021-07-05,5423.2578243770,5200.5151492249,5053.1253202181,5092.8019047283
2021-07-06,5447.5101327324,5223.7713728990,5075.7224301828,5115.5764447163
2021-07-07,5431.2120149388,5208.1426472816,5060.5366443762,5100.2714217889
2021-07-08,5385.9524836164,5164.7420039947,5018.3660356550,5057.7696940839
2021-07-09,5430.0111556975,5206.9911094277,5059.4177427060,5099.1437346257
2021-07-10,5415.6360191269,5193.2063848344,5046.0236963709,5085.6445197113
2021-07-11,5450.6005862255,5226.7348960670,5078.6019629844,5118.4785872928
2021-07-12,5386.9095019453,5165.6597159085,5019.2577383374,5058.6683983178
2021-07-13,5367.1162554741,5146.6794126556,5000.8153632647,5040.0812157435
2021-07-14,5372.1579586832,5151.5140443043,5005.5129747315,5044.8157123391
2021-07-15,5319.7401280785,5101.2491055945,4956.6726142623,4995.5918627286
2021-07-16,5291.5368486615,5074.2041841441,4930.3941834833,4969.1070966000
2021-07-17,5299.3600490181,5081.7060719923,4937.6834574008,4976.4536050949
2021-07-18,5310.7126612912,5092.5924126423,4948.2612640228,4987.1144674917
2021-07-19,5269.0081855828,5052.6008126234,4909.4030815441,4947.9511748360
2021-07-20,5221.3585902985,5006.9082694777,4865.0055285923,4903.2050171791
2021-07-21,5331.0276201972,5112.0730006888,4967.1897451225,5006.1915729441
2021-07-22,5340.1192275967,5120.7911998862,4975.6608584347,5014.7292005068
2021-07-23,5428.5683320177,5205.6075450375,5058.0733904540,5097.7888266677
2021-07-24,5468.5791487364,5243.9750476009,5095.3535046568,5135.3616602289
2021-07-25,5539.7818501444,5312.2533296463,5161.6966852696,5202.2257602026
2021-07-26,5680.2280026190,5446.9311132309,5292.5575132404,5334.1140930087
2021-07-27,6192.2413159432,5937.9151451127,5606.7575761152,5529.3897934084
2021-07-28,6134.1890208985,5920.5679969147,5686.5707962138,5566.6696735016
2021-07-29,6075.8962567348,5980.3921087881,5686.1331442742,5644.9352675292
