date,symbol,selected
2021-05-01,ADAUSDT,True
2021-05-01,THETAUSDT,True
2021-05-02,ADAUSDT,True
2021-05-02,THETAUSDT,True
2021-05-03,ADAUSDT,True
2021-05-03,THETAUSDT,True
2021-05-04,ADAUSDT,True
2021-05-04,THETAUSDT,True
2021-05-05,ADAUSDT,True
2021-05-05,THETAUSDT,True
2021-05-06,ADAUSDT,True
2021-05-06,THETAUSDT,True
2021-05-07,ADAUSDT,True
2021-05-07,THETAUSDT,True
2021-05-08,ADAUSDT,True
2021-05-08,THETAUSDT,True
2021-05-09,ADAUSDT,True
2021-05-09,THETAUSDT,True
2021-05-10,ADAUSDT,True
2021-05-10,THETAUSDT,True
2021-05-11,ADAUSDT,True
2021-05-11,THETAUSDT,True
2021-05-12,ADAUSDT,True
2021-05-12,THETAUSDT,True
2021-05-13,ADAUSDT,True
2021-05-13,THETAUSDT,True
2021-05-14,ADAUSDT,True
2021-05-14,THETAUSDT,True
2021-05-15,ADAUSDT,True
2021-05-15,THETAUSDT,True
2021-05-16,ADAUSDT,True
2021-05-16,THETAUSDT,True
2021-05-17,ADAUSDT,True
2021-05-17,THETAUSDT,True
2021-05-18,ADAUSDT,True
2021-05-18,THETAUSDT,True
2021-05-20,ETHUSDT,True
2021-05-20,FTTUSDT,True
2021-05-21,ETHUSDT,True
2021-05-21,FTTUSDT,True
2021-05-22,ADAUSDT,True
2021-05-22,ETHUSDT,True
2021-05-24,ADAUSDT,True
2021-05-24,ETHUSDT,True
2021-05-25,ADAUSDT,True
2021-05-25,ETHUSDT,True
2021-05-26,ADAUSDT,True
2021-05-26,ETHUSDT,True
2021-05-27,ADAUSDT,True
2021-05-27,ETHUSDT,True
2021-05-31,ADAUSDT,True
2021-05-31,ETHUSDT,True
2021-06-01,ADAUSDT,True
2021-06-01,ETHUSDT,True
2021-06-02,ADAUSDT,True
2021-06-02,ETHUSDT,True
2021-06-03,ADAUSDT,True
2021-06-03,ETHUSDT,True
2021-06-14,DOGEUSDT,True
2021-06-14,TFUELUSDT,True
2021-06-15,DOGEUSDT,True
2021-06-15,TFUELUSDT,True
2021-07-26,AXSUSDT,True
2021-07-26,KAVAUSDT,True
2021-07-27,AXSUSDT,True
2021-07-27,KAVAUSDT,True
2021-07-28,AXSUSDT,True
2021-07-28,KAVAUSDT,True
2021-07-29,AXSUSDT,True
2021-07-29,KAVAUSDT,True
2021-07-30,AXSUSDT,True
2021-07-30,KAVAUSDT,True
2021-07-31,AXSUSDT,True
2021-07-31,KAVAUSDT,True
2021-08-01,AXSUSDT,True
