open_time,btc_weight_turnover,alt_sleeve_size_turnover,within_alt_name_switch_turnover,alt_total_turnover,total_turnover,btc_cost,alt_sleeve_size_cost,name_switch_cost,total_cost
2021-05-01,0.5000000000,0.5000000000,0.0000000000,0.5000000000,1.0000000000,0.0002500000,0.0002500000,0.0000000000,0.0005000000
2021-05-02,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-03,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-04,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-05,0.0000000000,0.0000000000,0.0506293239,0.0506293239,0.0506293239,0.0000000000,0.0000000000,0.0000253147,0.0000253147
2021-05-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-07,0.0000000000,0.0000000000,0.0744911366,0.0744911366,0.0744911366,0.0000000000,0.0000000000,0.0000372456,0.0000372456
2021-05-08,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-09,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-18,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-19,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-20,0.1307525481,0.5000000000,0.0000000000,0.5000000000,0.6307525481,0.0000653763,0.0002500000,0.0000000000,0.0003153763
2021-05-21,0.1307525481,0.5000000000,0.0000000000,0.5000000000,0.6307525481,0.0000653763,0.0002500000,0.0000000000,0.0003153763
2021-05-22,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-23,0.0000000000,0.0000000000,0.5113946064,0.5113946064,0.5113946064,0.0000000000,0.0000000000,0.0002556973,0.0002556973
2021-05-24,0.1163297082,0.5000000000,0.0000000000,0.5000000000,0.6163297082,0.0000581649,0.0002500000,0.0000000000,0.0003081649
2021-05-25,0.1163297082,0.5000000000,0.0000000000,0.5000000000,0.6163297082,0.0000581649,0.0002500000,0.0000000000,0.0003081649
2021-05-26,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-27,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-28,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-29,0.1223255547,0.5000000000,0.0000000000,0.5000000000,0.6223255547,0.0000611628,0.0002500000,0.0000000000,0.0003111628
2021-05-30,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-05-31,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-01,0.1223255547,0.5000000000,0.0000000000,0.5000000000,0.6223255547,0.0000611628,0.0002500000,0.0000000000,0.0003111628
2021-06-02,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-03,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-04,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-05,0.1209979412,0.5000000000,0.0000000000,0.5000000000,0.6209979412,0.0000604990,0.0002500000,0.0000000000,0.0003104990
2021-06-06,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-07,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-08,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-09,0.0580037061,0.0000000000,0.0000000000,0.0000000000,0.0580037061,0.0000290019,0.0000000000,0.0000000000,0.0000290019
2021-06-10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2021-06-11,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
