symbol,spell_number,start,end,duration_days,mean_weight,max_weight,arithmetic_gross_contribution,asset_compound_return_during_spell,positive_contribution
AAVEUSDT,1,2024-08-14,2024-08-14,1,0.0935929449,0.0935929449,0.0078871535,0.0842708120,True
AAVEUSDT,2,2024-08-22,2024-08-25,4,0.1739788611,0.1739788611,-0.0053980300,-0.0334617580,False
AAVEUSDT,3,2024-09-03,2024-09-05,3,0.1528346092,0.1731068992,-0.0075315330,-0.0440326168,False
AAVEUSDT,4,2024-09-10,2024-09-12,3,0.1912934531,0.1912934531,0.0073833964,0.0360077159,True
AAVEUSDT,5,2024-09-19,2024-09-21,3,0.1879305875,0.2254491295,0.0183966883,0.0903639955,True
AAVEUSDT,6,2025-05-26,2025-06-07,13,0.2656909422,0.3500000000,-0.0142640731,-0.0439691028,False
AAVEUSDT,7,2025-06-10,2025-06-28,19,0.2345576165,0.3500000000,-0.0237777709,-0.0825597402,False
AAVEUSDT,8,2025-06-30,2025-07-05,6,0.1738373548,0.3500000000,-0.0056640332,-0.0181256954,False
AAVEUSDT,9,2025-07-07,2025-07-26,20,0.2106455522,0.2676695686,0.0049202234,0.0263441796,True
ADAUSDT,1,2021-05-01,2021-05-19,19,0.2902352843,0.2966676402,0.0492196438,0.0848623853,True
ADAUSDT,2,2021-05-23,2021-05-23,1,0.2556973032,0.2556973032,-0.0260434057,-0.1018524848,False
ADAUSDT,3,2021-05-25,2021-05-28,4,0.2605207831,0.2605207831,-0.0020491497,-0.0236774194,False
ADAUSDT,4,2021-06-01,2021-06-04,4,0.2681775018,0.2681775018,-0.0034547812,-0.0170379324,False
AKROUSDT,1,2023-08-30,2023-08-30,1,0.2437090770,0.2437090770,-0.0099183927,-0.0406976744,False
ARDRUSDT,1,2023-10-20,2023-10-20,1,0.2222609017,0.2222609017,0.0056877790,0.0255905512,True
ARPAUSDT,1,2023-06-26,2023-06-26,1,0.1606030827,0.1606030827,-0.0089844071,-0.0559416850,False
AUCTIONUSDT,1,2023-09-22,2023-09-22,1,0.1820977794,0.1820977794,-0.0153681247,-0.0843949045,False
AVAXUSDT,1,2022-03-24,2022-04-06,14,0.2470768339,0.2868446133,-0.0087634244,-0.0355813953,False
AXSUSDT,1,2021-07-27,2021-12-04,131,0.2371379962,0.3500000000,0.4052025317,1.8871821347,True
BCHUSDT,1,2023-06-25,2023-07-21,27,0.3054862118,0.3500000000,0.0699078119,0.1570286789,True
BCHUSDT,2,2023-07-25,2023-07-25,1,0.2814310303,0.2814310303,-0.0015346491,-0.0054530201,False
BCHUSDT,3,2023-07-31,2023-08-03,4,0.3500000000,0.3500000000,-0.0398144570,-0.1098814229,False
BCHUSDT,4,2023-08-11,2023-08-11,1,0.3500000000,0.3500000000,-0.0042259595,-0.0120741699,False
BCHUSDT,5,2023-08-16,2023-08-18,3,0.3321773152,0.3500000000,-0.0666847359,-0.1808650066,False
BCHUSDT,6,2023-09-16,2023-09-17,2,0.2736814819,0.2736814819,-0.0092700695,-0.0336095764,False
BCHUSDT,7,2023-09-29,2023-09-30,2,0.3018875823,0.3018875823,-0.0060925380,-0.0201089233,False
BCHUSDT,8,2023-10-02,2023-10-04,3,0.3341690975,0.3500000000,-0.0134457137,-0.0379694593,False
BCHUSDT,9,2023-10-19,2023-10-19,1,0.3467100590,0.3467100590,0.0007643520,0.0022045855,True
BCHUSDT,10,2025-06-14,2025-06-14,1,0.2602680117,0.2602680117,-0.0103248732,-0.0396701582,False
BCHUSDT,11,2025-06-16,2025-06-18,3,0.2977860536,0.2977860536,-0.0004387752,-0.0015204170,False
BCHUSDT,12,2025-06-20,2025-06-21,2,0.3451764550,0.3451764550,-0.0209120614,-0.0599476966,False
BCHUSDT,13,2025-06-27,2025-06-28,2,0.3500000000,0.3500000000,0.0015929335,0.0036794767,True
BCHUSDT,14,2025-07-01,2025-07-02,2,0.3500000000,0.3500000000,0.0036804005,0.0102827763,True
BLZUSDT,1,2023-09-20,2023-09-22,3,0.2958933316,0.3179022206,-0.0476542926,-0.1555869873,False
BNBUSDT,1,2024-06-02,2024-07-03,32,0.3163744592,0.3500000000,-0.0216607570,-0.0750955308,False
BNBUSDT,2,2024-07-19,2024-08-02,15,0.2382202653,0.2798873061,-0.0147819468,-0.0507081658,False
BNBUSDT,3,2024-09-22,2024-10-02,11,0.3061218533,0.3363263650,-0.0195414151,-0.0783214407,False
BNBUSDT,4,2024-10-06,2024-10-09,4,0.2622160029,0.3219848578,0.0019329760,0.0136767318,True
BNBUSDT,5,2024-10-12,2024-10-17,6,0.0847398344,0.1030616956,0.0015641813,0.0336471409,True
BNBUSDT,6,2025-09-16,2025-09-25,10,0.2988247804,0.3153339697,0.0075702291,0.0285099165,True
BNBUSDT,7,2025-09-29,2025-10-17,19,0.3153122122,0.3500000000,0.0316236809,0.0786900434,True
BNBUSDT,8,2025-10-20,2025-10-21,2,0.0997758179,0.0997758179,-0.0047734846,-0.0475006307,False
BNBUSDT,9,2025-10-24,2025-11-03,11,0.2950982956,0.3404927207,-0.0370384911,-0.1182015053,False
BNTUSDT,1,2023-08-06,2023-08-06,1,0.2014519978,0.2014519978,-0.0202371870,-0.1004566210,False
BONDUSDT,1,2023-10-15,2023-10-18,4,0.0787537747,0.1387714587,-0.0412928029,-0.4434717825,False
CFXUSDT,1,2023-04-01,2023-05-02,32,0.1975405610,0.2499651032,-0.0455667545,-0.2474576271,False
CFXUSDT,2,2023-05-05,2023-05-07,3,0.2645893959,0.3331052781,-0.0245023559,-0.1019147622,False
CFXUSDT,3,2023-05-10,2023-05-13,4,0.2471065230,0.2591830280,-0.0057823064,-0.0236709352,False
