row,event,asset_index,signal_date,symbol
240,risk_on,,2019-08-29,
266,risk_off,,2019-09-24,
267,risk_on,,2019-09-25,
268,risk_off,,2019-09-26,
286,risk_on,,2019-10-14,
287,risk_off,,2019-10-15,
297,entry,322.0,2019-10-25,LINKUSDT
297,risk_on,,2019-10-25,
299,exit,322.0,2019-10-27,LINKUSDT
302,entry,90.0,2019-10-30,BCHABCUSDT
304,exit,90.0,2019-11-01,BCHABCUSDT
305,entry,90.0,2019-11-02,BCHABCUSDT
308,entry,621.0,2019-11-05,XLMUSDT
309,exit,621.0,2019-11-06,XLMUSDT
312,exit,90.0,2019-11-09,BCHABCUSDT
313,entry,90.0,2019-11-10,BCHABCUSDT
314,exit,90.0,2019-11-11,BCHABCUSDT
318,risk_off,,2019-11-15,
378,entry,202.0,2020-01-14,ETCUSDT
378,entry,162.0,2020-01-14,DASHUSDT
378,risk_on,,2020-01-14,
385,exit,162.0,2020-01-21,DASHUSDT
388,entry,194.0,2020-01-24,EOSUSDT
389,exit,202.0,2020-01-25,ETCUSDT
389,exit,194.0,2020-01-25,EOSUSDT
390,entry,202.0,2020-01-26,ETCUSDT
390,entry,162.0,2020-01-26,DASHUSDT
392,exit,162.0,2020-01-28,DASHUSDT
392,entry,194.0,2020-01-28,EOSUSDT
417,exit,202.0,2020-02-22,ETCUSDT
417,entry,322.0,2020-02-22,LINKUSDT
418,exit,322.0,2020-02-23,LINKUSDT
418,entry,204.0,2020-02-23,ETHUSDT
421,exit,194.0,2020-02-26,EOSUSDT
421,exit,204.0,2020-02-26,ETHUSDT
421,risk_off,,2020-02-26,
484,entry,621.0,2020-04-29,XLMUSDT
484,entry,17.0,2020-04-29,ADAUSDT
484,risk_on,,2020-04-29,
485,exit,621.0,2020-04-30,XLMUSDT
485,entry,322.0,2020-04-30,LINKUSDT
486,exit,17.0,2020-05-01,ADAUSDT
486,entry,204.0,2020-05-01,ETHUSDT
487,exit,322.0,2020-05-02,LINKUSDT
487,entry,202.0,2020-05-02,ETCUSDT
490,exit,202.0,2020-05-05,ETCUSDT
492,entry,322.0,2020-05-07,LINKUSDT
498,exit,204.0,2020-05-13,ETHUSDT
498,exit,322.0,2020-05-13,LINKUSDT
499,entry,322.0,2020-05-14,LINKUSDT
500,exit,322.0,2020-05-15,LINKUSDT
503,entry,204.0,2020-05-18,ETHUSDT
505,entry,322.0,2020-05-20,LINKUSDT
508,exit,322.0,2020-05-23,LINKUSDT
509,entry,552.0,2020-05-24,TFUELUSDT
513,exit,552.0,2020-05-28,TFUELUSDT
513,entry,17.0,2020-05-28,ADAUSDT
522,exit,17.0,2020-06-06,ADAUSDT
523,entry,17.0,2020-06-07,ADAUSDT
524,exit,17.0,2020-06-08,ADAUSDT
526,entry,592.0,2020-06-10,VETUSDT
529,exit,592.0,2020-06-13,VETUSDT
529,entry,552.0,2020-06-13,TFUELUSDT
530,exit,552.0,2020-06-14,TFUELUSDT
530,entry,592.0,2020-06-14,VETUSDT
533,exit,592.0,2020-06-17,VETUSDT
533,entry,17.0,2020-06-17,ADAUSDT
535,exit,204.0,2020-06-19,ETHUSDT
535,exit,17.0,2020-06-19,ADAUSDT
538,entry,204.0,2020-06-22,ETHUSDT
539,entry,322.0,2020-06-23,LINKUSDT
543,exit,204.0,2020-06-27,ETHUSDT
544,exit,322.0,2020-06-28,LINKUSDT
544,risk_off,,2020-06-28,
545,entry,17.0,2020-06-29,ADAUSDT
545,entry,204.0,2020-06-29,ETHUSDT
545,risk_on,,2020-06-29,
546,exit,17.0,2020-06-30,ADAUSDT
546,exit,204.0,2020-06-30,ETHUSDT
546,risk_off,,2020-06-30,
547,entry,17.0,2020-07-01,ADAUSDT
547,entry,204.0,2020-07-01,ETHUSDT
547,risk_on,,2020-07-01,
548,exit,17.0,2020-07-02,ADAUSDT
548,exit,204.0,2020-07-02,ETHUSDT
548,risk_off,,2020-07-02,
554,entry,17.0,2020-07-08,ADAUSDT
554,entry,204.0,2020-07-08,ETHUSDT
554,risk_on,,2020-07-08,
565,exit,17.0,2020-07-19,ADAUSDT
565,entry,322.0,2020-07-19,LINKUSDT
644,exit,204.0,2020-10-06,ETHUSDT
644,exit,322.0,2020-10-06,LINKUSDT
644,risk_off,,2020-10-06,
646,entry,107.0,2020-10-08,BNBUSDT
646,entry,570.0,2020-10-08,TRXUSDT
646,risk_on,,2020-10-08,
649,exit,570.0,2020-10-11,TRXUSDT
649,entry,204.0,2020-10-11,ETHUSDT
666,exit,204.0,2020-10-28,ETHUSDT
666,entry,322.0,2020-10-28,LINKUSDT
668,exit,107.0,2020-10-30,BNBUSDT
669,exit,322.0,2020-10-31,LINKUSDT
670,entry,322.0,2020-11-01,LINKUSDT
672,exit,322.0,2020-11-03,LINKUSDT
676,entry,204.0,2020-11-07,ETHUSDT
677,entry,322.0,2020-11-08,LINKUSDT
678,exit,204.0,2020-11-09,ETHUSDT
678,entry,157.0,2020-11-09,CVCUSDT
680,exit,322.0,2020-11-11,LINKUSDT
