date,eligible_count,dynamic_dispersion
2022-12-10,7,0.0586502582
2022-12-11,7,0.0926367738
2022-12-12,14,0.0974055980
2022-12-13,18,0.1052469292
2022-12-14,13,0.1049404451
2022-12-15,11,0.0836298819
2022-12-16,18,0.1175762651
2022-12-17,12,0.1074600749
2022-12-18,10,0.1096293014
2022-12-19,11,0.1091593831
2022-12-20,7,0.1079270991
2022-12-21,8,0.1362417688
2022-12-22,7,0.0870466378
2022-12-23,7,0.0873563151
2022-12-24,4,
2022-12-25,7,0.2522441049
2022-12-26,8,0.1689017405
2022-12-27,9,0.1147199759
2022-12-28,10,0.1090552046
2022-12-29,10,0.1030421147
2022-12-30,8,0.1132401194
2022-12-31,7,0.1045906002
2023-01-01,6,0.0775561986
2023-01-02,8,0.0722721492
2023-01-03,10,0.0796371271
2023-01-04,15,0.0983620355
2023-01-05,12,0.0731963434
2023-01-06,14,0.1318246345
2023-01-07,11,0.1843533055
2023-01-08,14,0.2262463886
2023-01-09,27,0.1826727572
2023-01-10,21,0.2243839269
2023-01-11,20,0.2149630945
2023-01-12,29,0.2059255400
2023-01-13,27,0.2373264305
2023-01-14,38,0.2146210392
2023-01-15,28,0.2232541955
2023-01-16,29,0.2250877758
2023-01-17,22,0.2860274180
2023-01-18,32,0.2493431617
2023-01-19,15,0.3015772783
2023-01-20,25,0.3009554745
2023-01-21,30,0.2641298331
2023-01-22,29,0.2235214646
2023-01-23,31,0.2621609006
2023-01-24,28,0.2480753419
2023-01-25,29,0.2528784925
2023-01-26,32,0.2573549409
2023-01-27,32,0.2380874019
2023-01-28,32,0.2297470030
2023-01-29,29,0.2573917188
2023-01-30,40,0.2279927086
2023-01-31,30,0.3253916221
2023-02-01,34,0.3025920518
2023-02-02,42,0.3092935391
2023-02-03,36,0.3053924298
2023-02-04,28,0.3330272378
2023-02-05,35,0.3353767903
2023-02-06,33,0.3206814833
2023-02-07,43,0.3290456720
2023-02-08,43,0.2729297853
2023-02-09,51,0.2273579518
2023-02-10,37,0.2857699479
2023-02-11,27,0.2871767661
2023-02-12,26,0.2439686718
2023-02-13,36,0.2199529626
2023-02-14,30,0.2729137576
2023-02-15,39,0.2496060770
2023-02-16,51,0.2810388593
2023-02-17,48,0.2382617004
2023-02-18,30,0.2768696349
2023-02-19,44,0.3155484898
2023-02-20,51,0.3775099864
2023-02-21,49,0.3900817211
2023-02-22,42,0.3901124181
2023-02-23,36,0.4316781978
2023-02-24,34,0.3888332564
2023-02-25,26,0.3752218709
2023-02-26,18,0.3873864308
2023-02-27,27,0.3858457505
2023-02-28,27,0.3420290368
2023-03-01,29,0.4251803342
2023-03-02,26,0.3874717627
2023-03-03,35,0.3838202404
2023-03-04,21,0.3893290022
2023-03-05,19,0.4353646173
2023-03-06,19,0.4413905234
2023-03-07,25,0.3648057748
2023-03-08,25,0.2209721184
2023-03-09,30,0.2326171125
2023-03-10,31,0.1991104773
2023-03-11,30,0.1657862497
2023-03-12,28,0.1995491022
2023-03-13,38,0.1741522007
2023-03-14,44,0.1616862537
2023-03-15,42,0.1410278126
2023-03-16,29,0.1633083287
2023-03-17,36,0.1845587247
2023-03-18,39,0.1912559865
2023-03-19,38,0.1873367919
2023-03-20,41,0.1844082657
2023-03-21,36,0.1591759429
2023-03-22,35,0.1555193266
2023-03-23,25,0.1898530038
2023-03-24,24,0.2032133130
2023-03-25,16,0.1770235848
2023-03-26,17,0.2340948853
2023-03-27,24,0.2168943621
2023-03-28,21,0.2353734476
2023-03-29,30,0.2665383809
2023-03-30,32,0.2548810863
2023-03-31,27,0.3012875831
2023-04-01,22,0.2624514621
2023-04-02,19,0.3254343583
2023-04-03,30,0.3124354505
2023-04-04,25,0.2767812233
2023-04-05,30,0.2422778676
2023-04-06,27,0.2484885841
2023-04-07,19,0.2822481976
2023-04-08,25,0.3671933918
2023-04-09,23,0.3280711939
2023-04-10,28,0.2573763482
2023-04-11,26,0.2927848347
2023-04-12,31,0.2307684615
2023-04-13,25,0.1228063258
2023-04-14,39,0.2750427576
2023-04-15,27,0.3397744799
2023-04-16,29,0.2771454512
2023-04-17,34,0.2886983058
2023-04-18,33,0.2996891938
2023-04-19,43,0.2939033934
2023-04-20,32,0.3291062998
2023-04-21,26,0.3317924615
2023-04-22,18,0.4131072823
2023-04-23,20,0.3853830286
2023-04-24,19,0.1527376522
2023-04-25,20,0.2004227988
2023-04-26,30,0.1760799004
2023-04-27,22,0.1962222994
2023-04-28,13,0.2117640325
2023-04-29,17,0.1866695797
2023-04-30,15,0.2194606464
2023-05-01,18,0.2269783611
2023-05-02,13,0.2668634822
2023-05-03,19,0.2552844442
2023-05-04,13,0.3266905590
2023-05-05,21,0.2646957323
2023-05-06,15,0.2138515306
2023-05-07,11,0.2020337092
2023-05-08,24,0.1771610229
2023-05-09,14,0.0680066415
2023-05-10,24,0.1111927415
2023-05-11,19,0.1292873106
2023-05-12,20,0.1411672397
2023-05-13,7,0.0491092177
2023-05-14,8,0.0399831392
2023-05-15,13,0.0683355689
2023-05-16,14,0.0954284237
2023-05-17,20,0.0711400673
2023-05-18,18,0.0759453293
2023-05-19,13,0.0929130356
2023-05-20,8,0.0587963240
2023-05-21,10,0.0719666816
2023-05-22,13,0.0927541344
2023-05-23,12,0.1480866599
2023-05-24,15,0.3081465539
2023-05-25,15,0.3087481001
2023-05-26,9,0.3487367984
2023-05-27,12,0.2079542438
2023-05-28,19,0.2686054827
2023-05-29,16,0.2220419555
2023-05-30,19,0.2257213904
2023-05-31,15,0.2616180631
2023-06-01,15,0.2405952916
2023-06-02,15,0.2281354762
2023-06-03,10,0.1741023489
2023-06-04,14,0.1581888659
2023-06-05,31,0.1884895954
2023-06-06,21,0.1474808491
2023-06-07,20,0.1449807369
2023-06-08,14,0.0982987971
2023-06-09,13,0.1111862825
2023-06-10,32,0.1381786450
2023-06-11,11,0.1659971207
2023-06-12,13,0.2286402920
2023-06-13,12,0.1909846892
2023-06-14,14,0.2314002505
2023-06-15,13,0.1847712802
2023-06-16,9,0.1717700706
2023-06-17,8,0.1422323366
2023-06-18,8,0.1283374080
2023-06-19,6,0.1424765565
2023-06-20,13,0.1576060090
2023-06-21,24,0.1662331098
2023-06-22,23,0.1817675366
2023-06-23,23,0.1739714514
2023-06-24,20,0.2151937634
2023-06-25,21,0.1868801455
2023-06-26,25,0.1944045854
2023-06-27,12,0.2470951803
2023-06-28,17,0.2657873969
2023-06-29,17,0.2839939549
2023-06-30,29,0.2557451542
2023-07-01,20,0.2390149827
2023-07-02,16,0.3372966245
2023-07-03,20,0.3922892511
2023-07-04,22,0.3500986381
2023-07-05,22,0.3871133695
2023-07-06,20,0.4255384735
2023-07-07,13,0.5106099562
2023-07-08,15,0.4618686759
2023-07-09,15,0.4688553889
2023-07-10,16,0.4428936365
2023-07-11,16,0.4165207760
2023-07-12,12,0.3282755482
2023-07-13,29,0.2962836116
2023-07-14,34,0.2946789811
2023-07-15,17,0.2018787530
2023-07-16,18,0.2329885350
2023-07-17,25,0.1683648574
2023-07-18,17,0.1379792406
2023-07-19,13,0.1803821470
2023-07-20,17,0.2481875599
2023-07-21,17,0.1817638253
2023-07-22,13,0.2611669754
2023-07-23,12,0.2243371948
2023-07-24,16,0.1308987628
2023-07-25,16,0.1316521143
2023-07-26,17,0.2164506247
2023-07-27,15,0.1935594024
2023-07-28,13,0.2479405460
2023-07-29,11,0.2280002797
2023-07-30,14,0.1955207648
2023-07-31,18,0.1966510350
2023-08-01,17,0.1851474981
2023-08-02,15,0.1786961826
2023-08-03,13,0.1497229181
2023-08-04,14,0.2843793803
2023-08-05,12,0.3855236238
2023-08-06,13,0.3683967369
2023-08-07,17,0.2818985717
2023-08-08,20,0.2319515765
2023-08-09,17,0.2081290757
2023-08-10,16,0.2827917341
2023-08-11,10,0.3197160169
2023-08-12,11,0.2240098271
2023-08-13,14,0.2509695321
2023-08-14,18,0.2231611847
2023-08-15,17,0.2043916288
2023-08-16,19,0.2220253437
2023-08-17,21,0.2018354076
2023-08-18,18,0.2925255014
2023-08-19,12,0.3634938296
2023-08-20,6,0.3205828425
2023-08-21,14,0.4135299044
2023-08-22,14,0.3443017488
2023-08-23,15,0.3402483142
2023-08-24,11,0.2456168051
2023-08-25,12,0.3462330551
2023-08-26,4,
2023-08-27,5,0.1510035028
2023-08-28,8,0.3885259029
2023-08-29,20,0.2552699156
2023-08-30,12,0.2057080341
2023-08-31,14,0.2469404437
2023-09-01,12,0.2762041985
2023-09-02,10,0.2382545996
2023-09-03,9,0.3534093844
2023-09-04,18,0.2600594465
2023-09-05,12,0.3080256270
2023-09-06,13,0.3427853291
2023-09-07,11,0.4469823819
2023-09-08,15,0.3598392395
2023-09-09,8,0.3205702442
2023-09-10,13,0.3245524063
2023-09-11,14,0.2455305638
2023-09-12,13,0.0946444708
2023-09-13,12,0.4087688384
2023-09-14,14,0.3925082917
2023-09-15,13,0.5240629908
2023-09-16,14,0.4869921479
2023-09-17,8,0.3312328394
2023-09-18,14,0.3638824714
2023-09-19,15,0.3468226541
2023-09-20,12,0.3581494447
2023-09-21,14,0.1549526023
2023-09-22,8,0.4619840619
2023-09-23,9,0.2957144524
2023-09-24,8,0.3506868072
2023-09-25,8,0.1237835704
2023-09-26,10,0.4756844019
2023-09-27,12,0.3330886496
2023-09-28,15,0.2865119362
2023-09-29,13,0.2910721305
2023-09-30,8,0.2654264618
2023-10-01,16,0.2177304191
2023-10-02,16,0.1906235402
2023-10-03,12,0.1589688334
2023-10-04,10,0.0922712656
2023-10-05,11,0.1000770518
2023-10-06,11,0.0983035297
2023-10-07,10,0.1760021712
2023-10-08,9,0.1371720190
2023-10-09,12,0.1130928912
2023-10-10,10,0.2408259163
2023-10-11,9,0.1717197159
2023-10-12,5,0.0584046883
2023-10-13,7,0.0896721111
2023-10-14,7,0.3326046108
2023-10-15,12,0.2845041593
2023-10-16,18,0.2497954995
2023-10-17,7,0.3329022489
2023-10-18,10,0.1965300352
2023-10-19,7,0.1554883184
2023-10-20,16,0.2138528942
2023-10-21,13,0.1852388355
2023-10-22,15,0.1645870163
2023-10-23,28,0.1920444197
2023-10-24,37,0.2219905492
2023-10-25,30,0.2451019085
2023-10-26,29,0.2312163492
2023-10-27,21,0.2227010273
2023-10-28,14,0.2412568119
2023-10-29,20,0.2132072979
2023-10-30,24,0.2770420334
2023-10-31,33,0.2354235210
2023-11-01,33,0.2002001927
2023-11-02,33,0.1750639558
2023-11-03,22,0.2340674574
2023-11-04,16,0.1826962963
2023-11-05,31,0.1846554744
2023-11-06,39,0.2109193490
2023-11-07,38,0.1794399371
2023-11-08,23,0.2026374530
2023-11-09,52,0.1991749389
2023-11-10,45,0.2137139649
2023-11-11,50,0.2384984996
2023-11-12,38,0.2563006257
2023-11-13,47,0.2200849358
2023-11-14,40,0.2628097183
2023-11-15,37,0.2696034257
2023-11-16,40,0.2505336043
2023-11-17,36,0.2294962857
2023-11-18,26,0.2072669931
2023-11-19,23,0.1972944271
2023-11-20,37,0.2141750096
2023-11-21,43,0.2088439971
2023-11-22,33,0.2088271861
2023-11-23,27,0.2333056140
2023-11-24,33,0.2030565419
2023-11-25,24,0.3023681328
2023-11-26,34,0.3009301766
2023-11-27,38,0.3053451964
2023-11-28,34,0.3413919044
2023-11-29,28,0.3046836450
2023-11-30,23,0.2797576510
2023-12-01,23,0.2928673527
2023-12-02,23,0.3069227271
2023-12-03,31,0.3402668296
2023-12-04,51,0.3549471192
2023-12-05,52,0.3134367029
2023-12-06,55,0.2981908035
2023-12-07,43,0.1921117965
2023-12-08,38,0.2112000719
2023-12-09,50,0.1716100541
2023-12-10,40,0.2496805065
2023-12-11,57,0.2882337242
2023-12-12,44,0.2958949236
2023-12-13,41,0.2605410861
2023-12-14,45,0.2813358386
2023-12-15,45,0.3021163431
2023-12-16,38,0.2631594331
2023-12-17,36,0.2268470571
2023-12-18,41,0.2660805725
2023-12-19,44,0.2923179143
2023-12-20,44,0.3030520369
2023-12-21,46,0.3184847541
2023-12-22,51,0.3056633951
2023-12-23,51,0.3560635917
2023-12-24,58,0.3721698887
2023-12-25,66,0.3275789015
