date,V1_BASELINE,V1_PLUS_FIXED_PANEL_DISP0014,V1_PLUS_DYNAMIC_UNIVERSE_DISP0015,BRRK0011_BASELINE,BRRK0011_PLUS_FIXED_PANEL_DISP0014,BRRK0011_PLUS_DYNAMIC_UNIVERSE_DISP0015
2022-12-10,9999.4591682859,9999.3962653253,9999.3692717293,9999.1000001508,9999.2323134497,9999.2988564529
2022-12-11,9991.4998197407,9991.7313710440,9991.8721466369,9999.0999992969,9999.2323126369,9999.2988556635
2022-12-12,10014.1436945252,10013.5030770926,10013.1468992553,9999.1000018137,9999.2323150325,9999.2988579901
2022-12-13,10116.1382715543,10111.5606073955,10108.9614440746,9999.1000131245,9999.2323257986,9999.2988684458
2022-12-14,10121.7414173676,10117.0212012177,10114.3408745781,9999.1000136761,9999.2323263236,9999.2988689556
2022-12-15,10029.7106333962,10026.8484389604,10025.2259583031,9999.1000050275,9999.2323180915,9999.2988609608
2022-12-16,9878.0919858188,9878.2639429743,9878.3694092149,9999.0999906482,9999.2323044048,9999.2988476688
2022-12-17,9896.2031915719,9896.1327197784,9896.2209336098,9999.0999936401,9999.2323072526,9999.2988504344
2022-12-18,9891.2448792355,9891.2437190161,9891.3412476634,9999.0999928532,9999.2323065035,9999.2988497070
2022-12-19,9841.8493415932,9842.2844230033,9842.4403992157,9999.0999866906,9999.2323006377,9999.2988440103
2022-12-20,9917.7548459644,9917.5145075053,9917.5799808370,9999.0999962639,9999.2323097500,9999.2988528599
2022-12-21,9906.2021712576,9906.0654140295,9906.1447665132,9999.0999948180,9999.2323083737,9999.2988515233
2022-12-22,9905.6725536280,9905.5405394759,9905.6205274997,9999.0999947517,9999.2323083106,9999.2988514619
2022-12-23,9898.6541436451,9898.5849806678,9898.6733903256,9999.0999938722,9999.2323074734,9999.2988506490
2022-12-24,9908.0915588540,9907.9379413557,9908.0150346600,9999.0999950556,9999.2323085999,9999.2988517429
2022-12-25,9907.4363961572,9907.2886471771,9907.3665268230,9999.0999949735,9999.2323085218,9999.2988516671
2022-12-26,9921.6988502807,9921.4233559396,9921.4841185739,9999.0999967604,9999.2323102226,9999.2988533188
2022-12-27,9887.0172684337,9887.0528504626,9887.1552950956,9999.0999924215,9999.2323060927,9999.2988493080
2022-12-28,9860.8851919204,9861.1543532286,9861.2880960364,9999.0999891408,9999.2323029699,9999.2988462753
2022-12-29,9871.0483602108,9871.2646661611,9871.4105903233,9999.0999909351,9999.2323046778,9999.2988479339
2022-12-30,9867.8877192687,9868.1218730390,9868.2649029042,9999.0999903967,9999.2323041653,9999.2988474362
2022-12-31,9859.9635003131,9860.2423870406,9860.3781627154,9999.0999890462,9999.2323028799,9999.2988461879
2023-01-01,9869.0447626957,9869.2724259864,9869.4165085549,9999.0999905951,9999.2323043542,9999.2988476196
2023-01-02,9875.8749900002,9876.0640915334,9876.2144275122,9999.0999917589,9999.2323054620,9999.2988486955
2023-01-03,9876.1553820280,9876.3428994449,9876.4934923092,9999.0999918067,9999.2323055074,9999.2988487396
2023-01-04,9897.4167090363,9897.4841040242,9897.6541763307,9999.0999954269,9999.2323089533,9999.2988520861
2023-01-05,9894.2925456398,9894.3740890643,9894.5292407215,9999.0999950484,9999.2323085930,9999.2988517362
2023-01-06,9916.3307981277,9916.3264174440,9916.5501331438,9999.0999974806,9999.2323109081,9999.2988539846
2023-01-07,9915.0066517132,9915.0073703019,9915.2270166300,9999.0999973367,9999.2323107711,9999.2988538515
2023-01-08,9949.4779195918,9949.3459073860,9949.6714769657,9999.1000010842,9999.2323143381,9999.2988573157
2023-01-09,9963.6418459145,9963.4787337971,9963.8292571886,10011.7362293757,10011.8437974203,10011.9301617348
2023-01-10,10021.7558131089,10021.5011102168,10021.9254880309,10070.1307120085,10070.1478280634,10070.3068551503
2023-01-11,10156.2023134015,10155.7739500100,10156.3388979119,10205.2261839819,10205.0724597125,10205.3691527518
2023-01-12,10458.9385106785,10458.1912118334,10459.0155620530,10509.4236853338,10508.9577258515,10509.5070042160
2023-01-13,10889.4574712400,10888.3324106501,10889.4656050945,10942.0207558689,10941.1869309281,10942.0350672050
2023-01-14,11378.0705906868,11355.9719157456,11378.0136096379,11432.9924051110,11411.0964678545,11432.9415626217
2023-01-15,11338.4839995971,11321.5200305080,11338.4316194363,11393.2147300108,11376.4773450864,11393.1684883061
2023-01-16,11439.5618762392,11399.8275454222,11439.4981775800,11494.7805083772,11455.1649830427,11494.7229505095
