date,dynamic_dispersion,dynamic_prior_median,dynamic_raw_scale,dynamic_smoothed_scale,fixed_panel_dispersion,fixed_panel_raw_scale,fixed_panel_smoothed_scale,brrk0011_scale
2022-12-10,0.0586502582,0.2462670386,1.0000000000,0.9395017443,0.0223727026,1.0000000000,0.9614609563,0.0000001345
2022-12-11,0.0926367738,0.2462406479,1.0000000000,0.9516013954,0.0367791484,1.0000000000,0.9691687650,0.0000001345
2022-12-12,0.0974055980,0.2457527799,1.0000000000,0.9612811164,0.0328786631,1.0000000000,0.9753350120,0.0000001345
2022-12-13,0.1052469292,0.2452649120,1.0000000000,0.9690248931,0.0807225102,1.0000000000,0.9802680096,0.0000001345
2022-12-14,0.1049404451,0.2448447627,1.0000000000,0.9752199145,0.0828060081,1.0000000000,0.9842144077,0.0000001345
2022-12-15,0.0836298819,0.2444246134,1.0000000000,0.9801759316,0.0877682779,1.0000000000,0.9873715262,0.0000001345
2022-12-16,0.1175762651,0.2443744992,1.0000000000,0.9841407453,0.1192457487,0.9806546830,0.9860281575,0.0000001345
2022-12-17,0.1074600749,0.2443243851,1.0000000000,0.9873125962,0.1038827341,1.0000000000,0.9888225260,0.0000001345
2022-12-18,0.1096293014,0.2439835681,1.0000000000,0.9898500770,0.0795112439,1.0000000000,0.9910580208,0.0000001345
2022-12-19,0.1091593831,0.2436427510,1.0000000000,0.9918800616,0.0843583892,1.0000000000,0.9928464167,0.0000001345
2022-12-20,0.1079270991,0.2435509651,1.0000000000,0.9935040493,0.0696208653,1.0000000000,0.9942771333,0.0000001345
2022-12-21,0.1362417688,0.2434591791,1.0000000000,0.9948032394,0.0660756678,1.0000000000,0.9954217067,0.0000001345
2022-12-22,0.0870466378,0.2433258729,1.0000000000,0.9958425915,0.0657133463,1.0000000000,0.9963373653,0.0000001345
2022-12-23,0.0873563151,0.2431925667,1.0000000000,0.9966740732,0.0678417674,1.0000000000,0.9970698923,0.0000001345
2022-12-24,,0.2431843798,1.0000000000,0.9973392586,0.0743237295,1.0000000000,0.9976559138,0.0000001345
2022-12-25,0.2522441049,0.2431843798,0.9640835013,0.9906881071,0.0822259943,1.0000000000,0.9981247310,0.0000001345
2022-12-26,0.1689017405,0.2431925667,1.0000000000,0.9925504857,0.0954570437,1.0000000000,0.9984997848,0.0000001345
2022-12-27,0.1147199759,0.2431843798,1.0000000000,0.9940403886,0.0835397574,1.0000000000,0.9987998279,0.0000001345
2022-12-28,0.1090552046,0.2431761929,1.0000000000,0.9952323108,0.1184858043,0.9764572491,0.9943313121,0.0000001345
2022-12-29,0.1030421147,0.2430966172,1.0000000000,0.9961858487,0.1242999840,0.9308705252,0.9816391547,0.0000001345
2022-12-30,0.1132401194,0.2430170415,1.0000000000,0.9969486789,0.1132223246,1.0000000000,0.9853113238,0.0000001345
2022-12-31,0.1045906002,0.2429950641,1.0000000000,0.9975589432,0.1043637568,1.0000000000,0.9882490590,0.0000001345
2023-01-01,0.0775561986,0.2429730868,1.0000000000,0.9980471545,0.0981160465,1.0000000000,0.9905992472,0.0000001345
2023-01-02,0.0722721492,0.2429618573,1.0000000000,0.9984377236,0.0557626711,1.0000000000,0.9924793978,0.0000001345
2023-01-03,0.0796371271,0.2429506279,1.0000000000,0.9987501789,0.0228929167,1.0000000000,0.9939835182,0.0000001345
2023-01-04,0.0983620355,0.2427987524,1.0000000000,0.9990001431,0.0339219518,1.0000000000,0.9951868146,0.0000001345
2023-01-05,0.0731963434,0.2426468768,1.0000000000,0.9992001145,0.0598275178,1.0000000000,0.9961494517,0.0000001345
2023-01-06,0.1318246345,0.2425030428,1.0000000000,0.9993600916,0.0464912951,1.0000000000,0.9969195613,0.0000001345
2023-01-07,0.1843533055,0.2423592087,1.0000000000,0.9994880733,0.0338303404,1.0000000000,0.9975356491,0.0000001345
2023-01-08,0.2262463886,0.2422707399,1.0000000000,0.9995904586,0.0697972862,1.0000000000,0.9980285193,0.9999999999
2023-01-09,0.1826727572,0.2421822711,1.0000000000,0.9996723669,0.1117662760,1.0000000000,0.9984228154,0.9999999999
2023-01-10,0.2243839269,0.2421114766,1.0000000000,0.9997378935,0.1076152330,1.0000000000,0.9987382523,0.9999999999
2023-01-11,0.2149630945,0.2420406821,1.0000000000,0.9997903148,0.1065174498,1.0000000000,0.9989906019,0.9999999999
2023-01-12,0.2059255400,0.2420301843,1.0000000000,0.9998322519,0.1072518539,1.0000000000,0.9991924815,0.9999999999
2023-01-13,0.2373264305,0.2420196864,1.0000000000,0.9998658015,0.1449636617,0.7902646611,0.9574069174,0.9999999999
2023-01-14,0.2146210392,0.2416758026,1.0000000000,0.9998926412,0.2499360479,0.4586176093,0.8576490558,0.9999999999
2023-01-15,0.2232541955,0.2413319188,1.0000000000,0.9999141129,0.2471573688,0.4640383053,0.7789269057,0.9999999999
2023-01-16,0.2250877758,0.2412600183,1.0000000000,0.9999312904,0.2677984326,0.4284713215,0.7088357888,0.9999999999
2023-01-17,0.2860274180,0.2411881179,0.8432342592,0.9685918841,0.2995454807,0.3832386647,0.6437163640,0.9999999999
2023-01-18,0.2493431617,0.2412600183,0.9675822538,0.9683899581,0.2705520481,0.4245791810,0.5998889274,0.9999999999
2023-01-19,0.3015772783,0.2413319188,0.8002324316,0.9347584528,0.2595571381,0.4428470925,0.5684805604,0.9999999999
2023-01-20,0.3009554745,0.2416758026,0.8030284315,0.9084124485,0.3078911002,0.3733538638,0.5294552211,0.9999999999
2023-01-21,0.2641298331,0.2420196864,0.9162906122,0.9099880813,0.2975659291,0.3863363665,0.5008314502,0.9999999999
2023-01-22,0.2235214646,0.2420301843,1.0000000000,0.9279904650,0.2445687370,0.4707911637,0.4948233929,0.9999999999
2023-01-23,0.2621609006,0.2420196864,0.9231723185,0.9270268357,0.1594192303,0.7233823708,0.5405351885,0.9999999999
2023-01-24,0.2480753419,0.2420301843,0.9756317675,0.9367478221,0.1559623142,0.7406192467,0.5805520001,0.9999999999
2023-01-25,0.2528784925,0.2420406821,0.9571422217,0.9408267020,0.1701027424,0.6801555392,0.6004727079,0.9999999999
2023-01-26,0.2573549409,0.2421114766,0.9407687135,0.9408151043,0.1759831148,0.6574903027,0.6118762269,0.9999999999
2023-01-27,0.2380874019,0.2421822711,1.0000000000,0.9526520834,0.1878843880,0.6159003499,0.6126810515,0.9999999999
2023-01-28,0.2297470030,0.2421114766,1.0000000000,0.9621216667,0.1566821847,0.7390083523,0.6379465116,0.9999999999
2023-01-29,0.2573917188,0.2420406821,0.9403592440,0.9577691822,0.1328789157,0.8719278408,0.6847427775,0.9999999999
2023-01-30,0.2279927086,0.2421114766,1.0000000000,0.9662153458,0.1218633840,0.9520460050,0.7382034230,0.9999999999
2023-01-31,0.3253916221,0.2420406821,0.7438442347,0.9217411235,0.1268283390,0.9160276852,0.7737682754,0.9999999999
2023-02-01,0.3025920518,0.2421114766,0.8001250368,0.8974179062,0.1312198401,0.8855776597,0.7961301523,0.9999999999
2023-02-02,0.3092935391,0.2421822711,0.7830175561,0.8745378362,0.0864404694,1.0000000000,0.8369041218,0.9999999999
2023-02-03,0.3053924298,0.2422707399,0.7933095789,0.8582921847,0.0366900828,1.0000000000,0.8695232975,0.9999999999
2023-02-04,0.3330272378,0.2423592087,0.7277459054,0.8321829289,0.0205822399,1.0000000000,0.8956186380,0.9999999999
2023-02-05,0.3353767903,0.2425030428,0.7230764017,0.8103616234,0.0391751795,1.0000000000,0.9164949104,0.9999999999
2023-02-06,0.3206814833,0.2426468768,0.7566600800,0.7996213147,0.0384549155,1.0000000000,0.9331959283,0.9999999999
2023-02-07,0.3290456720,0.2427987524,0.7378876948,0.7872745907,0.0329957778,1.0000000000,0.9465567426,0.9999999245
2023-02-08,0.2729297853,0.2429506279,0.8901579856,0.8078512697,0.0363080954,1.0000000000,0.9572453941,0.9999999245
2023-02-09,0.2273579518,0.2429618573,1.0000000000,0.8462810158,0.0840196744,1.0000000000,0.9657963153,0.9999999245
2023-02-10,0.2857699479,0.2429506279,0.8501615711,0.8470571268,0.0807188775,1.0000000000,0.9726370522,0.9999999245
2023-02-11,0.2871767661,0.2429618573,0.8460359124,0.8468528840,0.0631321668,1.0000000000,0.9781096418,0.9999999245
2023-02-12,0.2439686718,0.2429730868,0.9959192094,0.8766661491,0.0610500627,1.0000000000,0.9824877134,0.9999999245
2023-02-13,0.2199529626,0.2429950641,1.0000000000,0.9013329192,0.0355844237,1.0000000000,0.9859901707,0.9999999245
2023-02-14,0.2729137576,0.2429730868,0.8902925559,0.8991248466,0.0372074552,1.0000000000,0.9887921366,0.9999999245
2023-02-15,0.2496060770,0.2429950641,0.9735142152,0.9140027203,0.0370356309,1.0000000000,0.9910337093,0.9999999245
2023-02-16,0.2810388593,0.2430170415,0.8647097491,0.9041441261,0.0537360771,1.0000000000,0.9928269674,0.9999999245
2023-02-17,0.2382617004,0.2430966172,1.0000000000,0.9233153008,0.0521819308,1.0000000000,0.9942615739,0.9999999245
2023-02-18,0.2768696349,0.2430170415,0.8777309278,0.9141984262,0.0590873156,1.0000000000,0.9954092591,0.9999999245
2023-02-19,0.3155484898,0.2430966172,0.7703938540,0.8854375118,0.0359571725,1.0000000000,0.9963274073,0.9999999245
2023-02-20,0.3775099864,0.2431761929,0.6441583048,0.8371816704,0.0472037464,1.0000000000,0.9970619259,0.9999999245
2023-02-21,0.3900817211,0.2431843798,0.6234190597,0.7944291483,0.0312747426,1.0000000000,0.9976495407,0.9999999245
2023-02-22,0.3901124181,0.2431925667,0.6233909903,0.7602215167,0.0270977605,1.0000000000,0.9981196325,0.9999999245
2023-02-23,0.4316781978,0.2433258729,0.5636742234,0.7209120580,0.0386192842,1.0000000000,0.9984957060,0.9999999245
2023-02-24,0.3888332564,0.2434591791,0.6261274598,0.7019551384,0.0339923158,1.0000000000,0.9987965648,0.9999999245
2023-02-25,0.3752218709,0.2435509651,0.6490852052,0.6913811517,0.0342756484,1.0000000000,0.9990372519,0.9999999245
2023-02-26,0.3873864308,0.2436427510,0.6289398173,0.6788928849,0.0382842206,1.0000000000,0.9992298015,0.9999999245
2023-02-27,0.3858457505,0.2438057114,0.6318735171,0.6694890113,0.0384601648,1.0000000000,0.9993838412,0.9999999245
2023-02-28,0.3420290368,0.2439686718,0.7132981284,0.6782508347,0.0353000671,1.0000000000,0.9995070730,0.9999999245
2023-03-01,0.4251803342,0.2441465285,0.5742187698,0.6574444218,0.0484932211,1.0000000000,0.9996056584,0.9999999245
2023-03-02,0.3874717627,0.2443243851,0.6305604915,0.6520676357,0.0557118903,1.0000000000,0.9996845267,0.9999999245
2023-03-03,0.3838202404,0.2443744992,0.6366899749,0.6489921035,0.0399313190,1.0000000000,0.9997476214,0.9999999245
2023-03-04,0.3893290022,0.2444246134,0.6278099295,0.6447556687,0.0442117574,1.0000000000,0.9997980971,0.9999999245
2023-03-05,0.4353646173,0.2448447627,0.5623901276,0.6282825605,0.0247136989,1.0000000000,0.9998384777,0.9999999245
2023-03-06,0.4413905234,0.2452649120,0.5556641999,0.6137588884,0.0281985862,1.0000000000,0.9998707821,0.9999999245
2023-03-07,0.3648057748,0.2457527799,0.6736537547,0.6257378616,0.0421802398,1.0000000000,0.9998966257,0.9999999245
2023-03-08,0.2209721184,0.2462406479,1.0000000000,0.7005902893,0.0724543530,1.0000000000,0.9999173006,0.9999999245
2023-03-09,0.2326171125,0.2457527799,1.0000000000,0.7604722315,0.0837281271,1.0000000000,0.9999338405,1.0000000000
2023-03-10,0.1991104773,0.2452649120,1.0000000000,0.8083777852,0.0721220883,1.0000000000,0.9999470724,1.0000000000
2023-03-11,0.1657862497,0.2448447627,1.0000000000,0.8467022281,0.0967595811,1.0000000000,0.9999576579,1.0000000000
2023-03-12,0.1995491022,0.2444246134,1.0000000000,0.8773617825,0.0799630536,1.0000000000,0.9999661263,1.0000000000
2023-03-13,0.1741522007,0.2443744992,1.0000000000,0.9018894260,0.0856496276,1.0000000000,0.9999729010,1.0000000000
2023-03-14,0.1616862537,0.2443243851,1.0000000000,0.9215115408,0.0730296376,1.0000000000,0.9999783208,1.0000000000
